"crosswalk_id","mechanism_id","orynth_repository","orynth_component","file_path","invariant_id","proof_id","test_id","baseline_commit","preexisting_status","correspondence_grade","review_status"
"US-CW-000014","US-CM-000014","ORYNTH-systems/orynth-constitutional-state-integrity","STRUCTURAL / TEMPORAL AUTHORITY CONCEPTS","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000015","US-CM-000015","ORYNTH-systems/orynth-constitutional-state-integrity","OPERATION-SCOPE LIMITATION","00-governance/CANONICAL_AUTHORITY_POLICY.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000016","US-CM-000016","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000017","US-CM-000017","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY CONTROL","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000018","US-CM-000018","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORARY-APPOINTMENT / TEMPORAL-AUTHORITY","13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C3","WAVE-01-ADJUDICATED"
"US-CW-000019","US-CM-000019","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000020","US-CM-000020","ORYNTH-systems/orynth-constitutional-state-integrity","ROLE-TYPED PRESIDENT-OF-SENATE AUTHORITY","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000021","US-CM-000021","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITIONAL ACTOR-AUTHORITY CONCEPT","17-reference-implementation/src/csi/authority_resolver.py","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000022","US-CM-000022","ORYNTH-systems/orynth-constitutional-state-integrity","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000023","US-CM-000023","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED PROCEDURAL-PREREQUISITE CONCEPT","02-constitutional-object-model/registry/PROCESS.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000024","US-CM-000024","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000025","US-CM-000025","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000026","US-CM-000026","ORYNTH-systems/orynth-constitutional-state-integrity","CONSEQUENCE-SCOPE LIMITATION / PROHIBITION","02-constitutional-object-model/registry/LIMITATION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000027","US-CM-000027","ORYNTH-systems/orynth-constitutional-state-integrity","INDEPENDENTLY-TYPED STATE / CONSEQUENCE SEPARATION","13-invariants/CSI_CANONICAL_INVARIANTS.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000028","US-CM-000028","ORYNTH-systems/orynth-constitutional-state-integrity","STATE-LEGISLATURE DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C3","WAVE-01-ADJUDICATED"
"US-CW-000029","US-CM-000029","ORYNTH-systems/orynth-constitutional-state-integrity","CONGRESS DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000030","US-CM-000030","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY CONCEPT","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000031","US-CM-000031","ORYNTH-systems/orynth-constitutional-state-integrity","INSTITUTION-SCOPED JURISDICTION / QUALIFICATION CONTROL","02-constitutional-object-model/registry/JURISDICTION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000032","US-CM-000032","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000033","US-CM-000033","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000034","US-CM-000034","ORYNTH-systems/orynth-constitutional-state-integrity","BOUNDED PROCEDURAL AUTHORITY","02-constitutional-object-model/registry/PROCESS.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000035","US-CM-000035","ORYNTH-systems/orynth-constitutional-state-integrity","INSTITUTION-SCOPED RULE AUTHORITY PATTERN","00-governance/CANONICAL_AUTHORITY_POLICY.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000036","US-CM-000036","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000037","US-CM-000037","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000038","US-CM-000038","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000039","US-CM-000039","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000040","US-CM-000040","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000041","US-CM-000041","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000042","US-CM-000042","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000043","US-CM-000043","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000044","US-CM-000044","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000045","US-CM-000045","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY / CONSTITUTIONAL-PROHIBITION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-02-ADJUDICATED"
"US-CW-000046","US-CM-000046","ORYNTH-systems/orynth-constitutional-state-integrity","INCOMPATIBLE-AUTHORITY-STATE CONCEPT","02-constitutional-object-model/registry/PROHIBITION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000047","US-CM-000047","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000048","US-CM-000048","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000049","US-CM-000049","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000050","US-CM-000050","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000051","US-CM-000051","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000052","US-CM-000052","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000053","US-CM-000053","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000054","US-CM-000054","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000055","US-CM-000055","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000056","US-CM-000056","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000057","US-CM-000057","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000058","US-CM-000058","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED TEMPORAL EFFECT CONTROL","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-02-ADJUDICATED"
"US-CW-000059","US-CM-000059","ORYNTH-systems/orynth-constitutional-state-integrity","BICAMERAL-PROCESS / PRESENTMENT CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000060","US-CM-000060","ORYNTH-systems/orynth-constitutional-state-integrity","ALTERNATIVE CONSEQUENCE-AUTHORIZATION PATH","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-02-ADJUDICATED"
"US-CW-000061","US-CM-000061","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000062","US-CM-000062","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000063","US-CM-000063","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000064","US-CM-000064","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED JURISDICTIONAL POWER","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-02-ADJUDICATED"
"US-CW-000065","US-CM-000065","ORYNTH-systems/orynth-constitutional-state-integrity","NATURALIZATION / CITIZENSHIP PREDICATE ARCHITECTURE","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-02-ADJUDICATED"
"US-CW-000066","US-CM-000066","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000067","US-CM-000067","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000068","US-CM-000068","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000069","US-CM-000069","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000070","US-CM-000070","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000071","US-CM-000071","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000072","US-CM-000072","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-02-ADJUDICATED"
"US-CW-000073","US-CM-000073","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000074","US-CM-000074","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000075","US-CM-000075","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000076","US-CM-000076","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000077","US-CM-000077","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000078","US-CM-000078","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000079","US-CM-000079","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORALLY-BOUNDED CONSTITUTIONAL LIMITATION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000080","US-CM-000080","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000081","US-CM-000081","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000082","US-CM-000082","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000083","US-CM-000083","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-03-ADJUDICATED"
"US-CW-000084","US-CM-000084","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITION-ACTIVATED FEDERAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000085","US-CM-000085","ORYNTH-systems/orynth-constitutional-state-integrity","RESERVED STATE AUTHORITY / FEDERAL-STATE SEPARATION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000086","US-CM-000086","ORYNTH-systems/orynth-constitutional-state-integrity","DIVIDED FEDERAL-STATE AUTHORITY","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000087","US-CM-000087","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITIONED TERRITORIAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000088","US-CM-000088","ORYNTH-systems/orynth-constitutional-state-integrity","CONSENT-CONDITIONED TERRITORIAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000089","US-CM-000089","ORYNTH-systems/orynth-constitutional-state-integrity","VESTED-POWER-TO-EXECUTION AUTHORITY CHAIN","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
"US-CW-000090","US-CM-000090","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL CONSTITUTIONAL PROHIBITION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-03-ADJUDICATED"
