"crosswalk_id","mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","predicate_count","predicate_ids","predicate_classes","candidate_orynth_repository","candidate_orynth_component","candidate_file_path","candidate_invariant_id","candidate_proof_id","candidate_test_id","candidate_baseline_commit","preexisting_status","correspondence_grade","correspondence_rationale","evidence_basis","review_status"
"US-CW-000228","US-CM-000228","US-AM-ATOM-000013","F5","UNITED-STATES/CRIMINAL/DOUBLE-JEOPARDY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000441|US-CP-000442","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000229","US-CM-000229","US-AM-ATOM-000014","F5","UNITED-STATES/CRIMINAL/SELF-INCRIMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall be compelled in any criminal case to be a witness against himself,","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000443|US-CP-000444","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000230","US-CM-000230","US-AM-ATOM-000015","F5","UNITED-STATES/DUE-PROCESS/LIFE-LIBERTY-PROPERTY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor be deprived of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000445|US-CP-000446","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000231","US-CM-000231","US-AM-ATOM-000016","F5","UNITED-STATES/TAKINGS/PUBLIC-USE/JUST-COMPENSATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall private property be taken for public use, without just compensation.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000447|US-CP-000448","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000232","US-CM-000232","US-AM-ATOM-000017","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000449|US-CP-000450|US-CP-000451","SCOPED-CONDITION|RIGHT-PROTECTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000233","US-CM-000233","US-AM-ATOM-000018","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000452|US-CP-000453|US-CP-000454","SCOPED-CONDITION|JURISDICTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000234","US-CM-000234","US-AM-ATOM-000019","F3","UNITED-STATES/CRIMINAL/ACCUSATION/NOTICE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to be informed of the nature and cause of the accusation","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000455","SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000235","US-CM-000235","US-AM-ATOM-000020","F3","UNITED-STATES/CRIMINAL/WITNESS-CONFRONTATION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to be confronted with the witnesses against him","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000456","SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000236","US-CM-000236","US-AM-ATOM-000021","F3","UNITED-STATES/CRIMINAL/COMPULSORY-PROCESS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to have compulsory process for obtaining witnesses in his favor","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000457","SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000237","US-CM-000237","US-AM-ATOM-000022","F3","UNITED-STATES/CRIMINAL/ASSISTANCE-OF-COUNSEL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to have the Assistance of Counsel for his defence.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000458","SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000238","US-CM-000238","US-AM-ATOM-000023","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000459|US-CP-000460|US-CP-000461","SCOPED-CONDITION|THRESHOLD|RIGHT-PROTECTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000239","US-CM-000239","US-AM-ATOM-000024","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000462|US-CP-000463|US-CP-000464","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000240","US-CM-000240","US-AM-ATOM-000025","F5","UNITED-STATES/BAIL/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: Excessive bail shall not be required","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000465","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000241","US-CM-000241","US-AM-ATOM-000026","F5","UNITED-STATES/FINES/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: nor excessive fines imposed","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000466","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000242","US-CM-000242","US-AM-ATOM-000027","F5","UNITED-STATES/PUNISHMENT/CRUEL-UNUSUAL","The Constitution establishes this prohibition, right-protection, or negative constraint: nor cruel and unusual punishments inflicted.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000467","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000243","US-CM-000243","US-AM-ATOM-000028","F5","UNITED-STATES/RIGHTS/UNENUMERATED","The Constitution establishes this prohibition, right-protection, or negative constraint: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000468","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000244","US-CM-000244","US-AM-ATOM-000029","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","3","US-CP-000469|US-CP-000470|US-CP-000471","JURISDICTION-BOUNDARY","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000245","US-CM-000245","US-AM-ATOM-000030","F6","UNITED-STATES/JUDICIAL-POWER/STATE-SOVEREIGNTY","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","2","US-CP-000472|US-CP-000473","JURISDICTION-BOUNDARY|QUALIFICATION-STATUS","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000246","US-CM-000246","US-AM-ATOM-000031","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","3","US-CP-000474|US-CP-000475|US-CP-000476","SCOPED-CONDITION|PROCEDURAL-PREREQUISITE","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000247","US-CM-000247","US-AM-ATOM-000031","F5","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this negative constraint: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","An elector slate is not constitutionally established under this mechanism if both persons voted for are inhabitants of the same state as the electors.","1","US-CP-000477","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000248","US-CM-000248","US-AM-ATOM-000032","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/DISTINCT-BALLOTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000478|US-CP-000479","PROCEDURAL-PREREQUISITE","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000249","US-CM-000249","US-AM-ATOM-000033","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/VOTE-LISTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000480|US-CP-000481|US-CP-000482","SCOPED-CONDITION|THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000250","US-CM-000250","US-AM-ATOM-000034","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/CERTIFICATION-TRANSMISSION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000483|US-CP-000484|US-CP-000485|US-CP-000486","PROCEDURAL-PREREQUISITE|AUTHORIZED-ACTOR","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000251","US-CM-000251","US-AM-ATOM-000035","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/CERTIFICATES/OPENING","The Constitution establishes this scoped power, duty, qualification, or procedural rule: -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000487|US-CP-000488|US-CP-000489","AUTHORIZED-ACTOR|SCOPED-CONDITION|PROCEDURAL-PREREQUISITE","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000252","US-CM-000252","US-AM-ATOM-000036","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/VOTE-COUNT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and the votes shall then be counted","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000490","SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000253","US-CM-000253","US-AM-ATOM-000037","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/PRESIDENT/MAJORITY-SELECTION","The Constitution establishes this concurrence, quorum, majority, or threshold rule: -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000491|US-CP-000492","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000254","US-CM-000254","US-AM-ATOM-000038","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/CONTINGENT-SELECTION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and if no person have such majority, then from the persons having the highest numbers not exceeding three on the list of those voted for as President, the House of Representatives shall choose immediately, by ballot, the President","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000493|US-CP-000494|US-CP-000495|US-CP-000496","THRESHOLD|SCOPED-CONDITION|AUTHORIZED-ACTOR|PROCEDURAL-PREREQUISITE","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000255","US-CM-000255","US-AM-ATOM-000039","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/STATE-VOTING","The Constitution establishes this concurrence, quorum, majority, or threshold rule: But in choosing the President, the votes shall be taken by states, the representation from each state having one vote","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000497|US-CP-000498","CONCURRENCE-THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000256","US-CM-000256","US-AM-ATOM-000040","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/QUORUM","The Constitution establishes this concurrence, quorum, majority, or threshold rule: a quorum for this purpose shall consist of a member or members from two-thirds of the states","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","1","US-CP-000499","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000257","US-CM-000257","US-AM-ATOM-000041","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/CHOICE-THRESHOLD","The Constitution establishes this concurrence, quorum, majority, or threshold rule: and a majority of all the states shall be necessary to a choice","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","1","US-CP-000500","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000258","US-CM-000258","US-AM-ATOM-000042","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/FAILURE-TO-CHOOSE/TRANSITION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: [And if the House of Representatives shall not choose a President whenever the right of choice shall devolve upon them, before the fourth day of March next following, then the Vice-President shall act as President, as in the case of the death or other constitutional disability of the President. --]*","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000501|US-CP-000502|US-CP-000503","TEMPORAL-CONDITION|SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000259","US-CM-000259","US-AM-ATOM-000043","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/VICE-PRESIDENT/MAJORITY-SELECTION","The Constitution establishes this concurrence, quorum, majority, or threshold rule: The person having the greatest number of votes as Vice-President, shall be the Vice-President, if such number be a majority of the whole number of Electors appointed","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000504|US-CP-000505","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000260","US-CM-000260","US-AM-ATOM-000044","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this scoped selection procedure: if no person has a majority for Vice-President, the Senate shall choose the Vice-President from the two highest numbers on the list.","The Senate contingent-selection procedure is not established unless no person has the required majority and the selection is confined to the two highest numbers on the Vice-Presidential list.","3","US-CP-000506|US-CP-000507|US-CP-000508","THRESHOLD|AUTHORIZED-ACTOR|SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000261","US-CM-000261","US-AM-ATOM-000044","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this quorum rule: a quorum for the Senate's contingent choice of Vice-President shall consist of two-thirds of the whole number of Senators.","The Senate contingent Vice-Presidential choice is not established under this quorum mechanism when fewer than two-thirds of the whole number of Senators constitute the quorum.","1","US-CP-000509","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000262","US-CM-000262","US-AM-ATOM-000044","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this concurrence threshold: a majority of the whole number of Senators is necessary to choose the Vice-President in the Senate contingent procedure.","The Senate contingent Vice-Presidential choice is not established under this threshold mechanism without a majority of the whole number of Senators.","1","US-CP-000510","THRESHOLD","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000263","US-CM-000263","US-AM-ATOM-000045","F3","UNITED-STATES/VICE-PRESIDENT/ELIGIBILITY","The Constitution establishes this scoped power, duty, qualification, or procedural rule: But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000511","QUALIFICATION-STATUS","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000264","US-CM-000264","US-AM-ATOM-000046","F5","UNITED-STATES/SLAVERY/PROHIBITION","The Constitution establishes this prohibition, right-protection, or negative constraint: Neither slavery","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000512","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000265","US-CM-000265","US-AM-ATOM-000047","F5","UNITED-STATES/INVOLUNTARY-SERVITUDE/PROHIBITION-EXCEPTION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000513|US-CP-000514|US-CP-000515","PROHIBITION|EXCEPTION|JURISDICTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000266","US-CM-000266","US-AM-ATOM-000048","F3","UNITED-STATES/CONGRESS/AMENDMENT-13/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: Congress shall have power to enforce this article by appropriate legislation.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000516|US-CP-000517","AUTHORIZED-ACTOR|SCOPED-CONDITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000267","US-CM-000267","US-AM-ATOM-000049","F6","UNITED-STATES/CITIZENSHIP/BIRTH-NATURALIZATION","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","4","US-CP-000518|US-CP-000519|US-CP-000520|US-CP-000521","JURISDICTION-BOUNDARY|JURISDICTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000268","US-CM-000268","US-AM-ATOM-000050","F5","UNITED-STATES/STATES/PRIVILEGES-IMMUNITIES","The Constitution establishes this prohibition, right-protection, or negative constraint: No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000522|US-CP-000523","AUTHORIZED-ACTOR|PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000269","US-CM-000269","US-AM-ATOM-000051","F5","UNITED-STATES/STATES/DUE-PROCESS","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any State deprive any person of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000524|US-CP-000525","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000270","US-CM-000270","US-AM-ATOM-000052","F5","UNITED-STATES/STATES/EQUAL-PROTECTION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor deny to any person within its jurisdiction the equal protection of the laws.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000526|US-CP-000527","JURISDICTION|PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000271","US-CM-000271","US-AM-ATOM-000053","F6","UNITED-STATES/STATES/REPRESENTATION/APPORTIONMENT","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: Representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State, excluding Indians not taxed.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","3","US-CP-000528|US-CP-000529|US-CP-000530","JURISDICTION-BOUNDARY","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
