"mechanism_id","generation_unit_id","source_construction_id","amendment_number","section_number","boundary_label","source_atom_ids","topology_action","prior_mechanism_ids","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","semantic_status","semantic_basis","topology_authority","semantic_authority","canonical_registry_status","orynth_mapping_status","correspondence_grade"
"US-CM-000226","US-AM-MECH-UNIT-000004","US-AM-ATOM-CAND-000004","4","","PRESERVED-US-CM-000226","US-AM-ATOM-000011","PRESERVE-EXISTING-BOUNDARY","US-CM-000226","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000227","US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","5","","PRESERVED-US-CM-000227","US-AM-ATOM-000012","PRESERVE-EXISTING-BOUNDARY","US-CM-000227","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000228","US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","5","","PRESERVED-US-CM-000228","US-AM-ATOM-000013","PRESERVE-EXISTING-BOUNDARY","US-CM-000228","F5","UNITED-STATES/CRIMINAL/DOUBLE-JEOPARDY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000229","US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","5","","PRESERVED-US-CM-000229","US-AM-ATOM-000014","PRESERVE-EXISTING-BOUNDARY","US-CM-000229","F5","UNITED-STATES/CRIMINAL/SELF-INCRIMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall be compelled in any criminal case to be a witness against himself,","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000230","US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","5","","PRESERVED-US-CM-000230","US-AM-ATOM-000015","PRESERVE-EXISTING-BOUNDARY","US-CM-000230","F5","UNITED-STATES/DUE-PROCESS/LIFE-LIBERTY-PROPERTY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor be deprived of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000231","US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","5","","PRESERVED-US-CM-000231","US-AM-ATOM-000016","PRESERVE-EXISTING-BOUNDARY","US-CM-000231","F5","UNITED-STATES/TAKINGS/PUBLIC-USE/JUST-COMPENSATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall private property be taken for public use, without just compensation.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000232","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000232","US-AM-ATOM-000017","PRESERVE-EXISTING-BOUNDARY","US-CM-000232","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000233","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000233","US-AM-ATOM-000018","PRESERVE-EXISTING-BOUNDARY","US-CM-000233","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000234","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000234","US-AM-ATOM-000019","PRESERVE-EXISTING-BOUNDARY","US-CM-000234","F3","UNITED-STATES/CRIMINAL/ACCUSATION/NOTICE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to be informed of the nature and cause of the accusation","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000235","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000235","US-AM-ATOM-000020","PRESERVE-EXISTING-BOUNDARY","US-CM-000235","F3","UNITED-STATES/CRIMINAL/WITNESS-CONFRONTATION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to be confronted with the witnesses against him","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000236","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000236","US-AM-ATOM-000021","PRESERVE-EXISTING-BOUNDARY","US-CM-000236","F3","UNITED-STATES/CRIMINAL/COMPULSORY-PROCESS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to have compulsory process for obtaining witnesses in his favor","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000237","US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","6","","PRESERVED-US-CM-000237","US-AM-ATOM-000022","PRESERVE-EXISTING-BOUNDARY","US-CM-000237","F3","UNITED-STATES/CRIMINAL/ASSISTANCE-OF-COUNSEL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to have the Assistance of Counsel for his defence.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000238","US-AM-MECH-UNIT-000007","US-AM-ATOM-CAND-000007","7","","PRESERVED-US-CM-000238","US-AM-ATOM-000023","PRESERVE-EXISTING-BOUNDARY","US-CM-000238","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000239","US-AM-MECH-UNIT-000007","US-AM-ATOM-CAND-000007","7","","PRESERVED-US-CM-000239","US-AM-ATOM-000024","PRESERVE-EXISTING-BOUNDARY","US-CM-000239","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000240","US-AM-MECH-UNIT-000008","US-AM-ATOM-CAND-000008","8","","PRESERVED-US-CM-000240","US-AM-ATOM-000025","PRESERVE-EXISTING-BOUNDARY","US-CM-000240","F5","UNITED-STATES/BAIL/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: Excessive bail shall not be required","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000241","US-AM-MECH-UNIT-000008","US-AM-ATOM-CAND-000008","8","","PRESERVED-US-CM-000241","US-AM-ATOM-000026","PRESERVE-EXISTING-BOUNDARY","US-CM-000241","F5","UNITED-STATES/FINES/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: nor excessive fines imposed","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000242","US-AM-MECH-UNIT-000008","US-AM-ATOM-CAND-000008","8","","PRESERVED-US-CM-000242","US-AM-ATOM-000027","PRESERVE-EXISTING-BOUNDARY","US-CM-000242","F5","UNITED-STATES/PUNISHMENT/CRUEL-UNUSUAL","The Constitution establishes this prohibition, right-protection, or negative constraint: nor cruel and unusual punishments inflicted.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000243","US-AM-MECH-UNIT-000009","US-AM-ATOM-CAND-000009","9","","PRESERVED-US-CM-000243","US-AM-ATOM-000028","PRESERVE-EXISTING-BOUNDARY","US-CM-000243","F5","UNITED-STATES/RIGHTS/UNENUMERATED","The Constitution establishes this prohibition, right-protection, or negative constraint: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000244","US-AM-MECH-UNIT-000010","US-AM-ATOM-CAND-000010","10","","PRESERVED-US-CM-000244","US-AM-ATOM-000029","PRESERVE-EXISTING-BOUNDARY","US-CM-000244","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000245","US-AM-MECH-UNIT-000011","US-AM-ATOM-CAND-000011","11","","PRESERVED-US-CM-000245","US-AM-ATOM-000030","PRESERVE-EXISTING-BOUNDARY","US-CM-000245","F6","UNITED-STATES/JUDICIAL-POWER/STATE-SOVEREIGNTY","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000246","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","ELECTOR-MEETING-VOTING","US-AM-ATOM-000031","SPLIT-PRIOR-BOUNDARY","US-CM-000246","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","FINAL-CHANGED-BOUNDARY-ADJUDICATED","The meeting-and-voting duty is independently operative from the same-state inhabitancy constraint contained in the same prior child atom.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-06X-CHANGED-BOUNDARY-SEMANTIC-ADJUDICATION","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000247","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","ELECTOR-SAME-STATE-INHABITANCY-CONSTRAINT","US-AM-ATOM-000031","SPLIT-PRIOR-BOUNDARY","US-CM-000246","F5","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this negative constraint: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","An elector slate is not constitutionally established under this mechanism if both persons voted for are inhabitants of the same state as the electors.","FINAL-CHANGED-BOUNDARY-ADJUDICATED","The inhabitancy restriction is a distinct negative constraint embedded within the prior combined elector-voting boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-06X-CHANGED-BOUNDARY-SEMANTIC-ADJUDICATION","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000248","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","DISTINCT-BALLOTS","US-AM-ATOM-000032","PRESERVE-EXISTING-BOUNDARY","US-CM-000247","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/DISTINCT-BALLOTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000249","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","VOTE-LISTS","US-AM-ATOM-000033","PRESERVE-EXISTING-BOUNDARY","US-CM-000248","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/VOTE-LISTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000250","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","CERTIFY-TRANSMIT","US-AM-ATOM-000034","PRESERVE-EXISTING-BOUNDARY","US-CM-000249","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/CERTIFICATION-TRANSMISSION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000251","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","CERTIFICATE-OPENING","US-AM-ATOM-000035","PRESERVE-EXISTING-BOUNDARY","US-CM-000250","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/CERTIFICATES/OPENING","The Constitution establishes this scoped power, duty, qualification, or procedural rule: -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000252","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","VOTE-COUNT","US-AM-ATOM-000036","PRESERVE-EXISTING-BOUNDARY","US-CM-000251","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/VOTE-COUNT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and the votes shall then be counted","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000253","US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","12","","PRESIDENT-MAJORITY","US-AM-ATOM-000037","PRESERVE-EXISTING-BOUNDARY","US-CM-000252","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/PRESIDENT/MAJORITY-SELECTION","The Constitution establishes this concurrence, quorum, majority, or threshold rule: -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
