"generation_unit_id","source_construction_id","unit_type","amendment_number","section_number","atom_count","adjudicated_mechanisms","count_rule","context_rule","adjudication_status","reviewer_note"
"US-AM-MECH-UNIT-000011","US-AM-ATOM-CAND-000011","UNIT-ATOM","11","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","UNIT-CONSTRUCTION","12","","15","15","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000013","US-AM-ATOM-CAND-000013","UNIT-CONSTRUCTION","13","1","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000014","US-AM-ATOM-CAND-000014","UNIT-ATOM","13","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000015","US-AM-ATOM-CAND-000015","UNIT-CONSTRUCTION","14","1","4","4","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000016","US-AM-ATOM-CAND-000016","UNIT-CONSTRUCTION","14","2","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000017","US-AM-ATOM-CAND-000017","UNIT-CONSTRUCTION","14","3","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000018","US-AM-ATOM-CAND-000018","UNIT-CONSTRUCTION","14","4","3","3","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000019","US-AM-ATOM-CAND-000019","UNIT-ATOM","14","5","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000020","US-AM-ATOM-CAND-000020","UNIT-ATOM","15","1","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000021","US-AM-ATOM-CAND-000021","UNIT-ATOM","15","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000022","US-AM-ATOM-CAND-000022","UNIT-ATOM","16","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000023","US-AM-ATOM-CAND-000023","UNIT-CONSTRUCTION","17","","5","5","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000024","US-AM-ATOM-CAND-000024","UNIT-CONSTRUCTION","17","","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000025","US-AM-ATOM-CAND-000025","UNIT-ATOM","17","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000026","US-AM-ATOM-CAND-000026","UNIT-CONSTRUCTION","18","1","5","5","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000027","US-AM-ATOM-CAND-000027","UNIT-ATOM","18","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000028","US-AM-ATOM-CAND-000028","UNIT-ATOM","18","3","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000029","US-AM-ATOM-CAND-000029","UNIT-ATOM","19","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000030","US-AM-ATOM-CAND-000030","UNIT-ATOM","19","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000031","US-AM-ATOM-CAND-000031","UNIT-CONSTRUCTION","20","1","3","3","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000032","US-AM-ATOM-CAND-000032","UNIT-CONSTRUCTION","20","2","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000033","US-AM-ATOM-CAND-000033","UNIT-CONSTRUCTION","20","3","4","4","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000034","US-AM-ATOM-CAND-000034","UNIT-CONSTRUCTION","20","4","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000035","US-AM-ATOM-CAND-000035","UNIT-ATOM","20","5","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000036","US-AM-ATOM-CAND-000036","UNIT-ATOM","20","6","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000037","US-AM-ATOM-CAND-000037","UNIT-ATOM","21","1","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000038","US-AM-ATOM-CAND-000038","UNIT-ATOM","21","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000039","US-AM-ATOM-CAND-000039","UNIT-ATOM","21","3","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000040","US-AM-ATOM-CAND-000040","UNIT-CONSTRUCTION","22","1","4","4","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000041","US-AM-ATOM-CAND-000041","UNIT-ATOM","22","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000042","US-AM-ATOM-CAND-000042|US-AM-ATOM-CAND-000043","UNIT-CONSTRUCTION","23","1","3","3","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000043","US-AM-ATOM-CAND-000044","UNIT-ATOM","23","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000044","US-AM-ATOM-CAND-000045","UNIT-ATOM","24","1","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000045","US-AM-ATOM-CAND-000046","UNIT-ATOM","24","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000046","US-AM-ATOM-CAND-000047","UNIT-ATOM","25","1","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000047","US-AM-ATOM-CAND-000048","UNIT-CONSTRUCTION","25","2","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000048","US-AM-ATOM-CAND-000049","UNIT-ATOM","25","3","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000049","US-AM-ATOM-CAND-000050","UNIT-ATOM","25","4","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000050","US-AM-ATOM-CAND-000051","UNIT-CONSTRUCTION","25","4","6","6","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000051","US-AM-ATOM-CAND-000052","UNIT-ATOM","26","1","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000052","US-AM-ATOM-CAND-000053","UNIT-ATOM","26","2","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000053","US-AM-ATOM-CAND-000054","UNIT-ATOM","27","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
