"mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","predicate_count","predicate_ids","crosswalk_id","orynth_repository","orynth_component","file_path","preexisting_status","correspondence_grade","canonical_proof_binding_count","integration_status"
"US-CM-000011","US-CONST-ATOM-000011","F1","UNITED-STATES/HOUSE/STATE-VACANCIES","2","US-CP-000019|US-CP-000020","US-CW-000011","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITIONAL-ACTOR-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000012","US-CONST-ATOM-000012","F1","UNITED-STATES/HOUSE/INTERNAL-OFFICERS","1","US-CP-000021","US-CW-000012","ORYNTH-systems/orynth-constitutional-state-integrity","ACTOR-OPERATION AUTHORITY SCOPE","02-constitutional-object-model/registry/AUTHORITY.yaml","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000013","US-CONST-ATOM-000013","F2","UNITED-STATES/HOUSE/IMPEACHMENT","1","US-CP-000022","US-CW-000013","ORYNTH-systems/orynth-constitutional-state-integrity","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000014","US-CONST-ATOM-000014","F2","UNITED-STATES/SENATE/STATE-REPRESENTATION","2","US-CP-000023|US-CP-000024","US-CW-000014","ORYNTH-systems/orynth-constitutional-state-integrity","STRUCTURAL / TEMPORAL AUTHORITY CONCEPTS","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000015","US-CONST-ATOM-000015","F3","UNITED-STATES/SENATE/VOTING","1","US-CP-000025","US-CW-000015","ORYNTH-systems/orynth-constitutional-state-integrity","OPERATION-SCOPE LIMITATION","00-governance/CANONICAL_AUTHORITY_POLICY.md","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000016","US-CONST-ATOM-000016","F3","UNITED-STATES/SENATE/INITIAL-CLASSIFICATION","2","US-CP-000026|US-CP-000027","US-CW-000016","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000017","US-CONST-ATOM-000017","F3","UNITED-STATES/SENATE/TERM-STAGGERING","2","US-CP-000028|US-CP-000029","US-CW-000017","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY CONTROL","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000018","US-CONST-ATOM-000018","F1","UNITED-STATES/SENATE/STATE-VACANCIES","4","US-CP-000030|US-CP-000031|US-CP-000032|US-CP-000033","US-CW-000018","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORARY-APPOINTMENT / TEMPORAL-AUTHORITY","13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md","YES","C3","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000019","US-CONST-ATOM-000019","F3","UNITED-STATES/SENATE/MEMBER-QUALIFICATIONS","3","US-CP-000034|US-CP-000035|US-CP-000036","US-CW-000019","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000020","US-CONST-ATOM-000020","F2","UNITED-STATES/SENATE/VICE-PRESIDENT","2","US-CP-000037|US-CP-000038","US-CW-000020","ORYNTH-systems/orynth-constitutional-state-integrity","ROLE-TYPED PRESIDENT-OF-SENATE AUTHORITY","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000021","US-CONST-ATOM-000021","F1","UNITED-STATES/SENATE/INTERNAL-OFFICERS","2","US-CP-000039|US-CP-000040","US-CW-000021","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITIONAL ACTOR-AUTHORITY CONCEPT","17-reference-implementation/src/csi/authority_resolver.py","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000022","US-CONST-ATOM-000022","F2","UNITED-STATES/SENATE/IMPEACHMENT","1","US-CP-000041","US-CW-000022","ORYNTH-systems/orynth-constitutional-state-integrity","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000023","US-CONST-ATOM-000023","F3","UNITED-STATES/SENATE/IMPEACHMENT-PROCEDURE","1","US-CP-000042","US-CW-000023","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED PROCEDURAL-PREREQUISITE CONCEPT","02-constitutional-object-model/registry/PROCESS.yaml","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000024","US-CONST-ATOM-000024","F2","UNITED-STATES/SENATE/PRESIDENTIAL-IMPEACHMENT","1","US-CP-000043","US-CW-000024","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000025","US-CONST-ATOM-000025","F4","UNITED-STATES/SENATE/IMPEACHMENT-CONVICTION","1","US-CP-000044","US-CW-000025","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000026","US-CONST-ATOM-000026","F5","UNITED-STATES/IMPEACHMENT/JUDGMENT-EFFECT","1","US-CP-000045","US-CW-000026","ORYNTH-systems/orynth-constitutional-state-integrity","CONSEQUENCE-SCOPE LIMITATION / PROHIBITION","02-constitutional-object-model/registry/LIMITATION.yaml","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000027","US-CONST-ATOM-000027","F2","UNITED-STATES/IMPEACHMENT/CRIMINAL-PROCESS-SEPARATION","1","US-CP-000046","US-CW-000027","ORYNTH-systems/orynth-constitutional-state-integrity","INDEPENDENTLY-TYPED STATE / CONSEQUENCE SEPARATION","13-invariants/CSI_CANONICAL_INVARIANTS.md","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000028","US-CONST-ATOM-000028","F6","UNITED-STATES/STATES/CONGRESSIONAL-ELECTIONS","1","US-CP-000047","US-CW-000028","ORYNTH-systems/orynth-constitutional-state-integrity","STATE-LEGISLATURE DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","YES","C3","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000029","US-CONST-ATOM-000029","F6","UNITED-STATES/FEDERAL-CONGRESS/CONGRESSIONAL-ELECTIONS","2","US-CP-000048|US-CP-000049","US-CW-000029","ORYNTH-systems/orynth-constitutional-state-integrity","CONGRESS DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000030","US-CONST-ATOM-000030","F3","UNITED-STATES/CONGRESS/ASSEMBLY","2","US-CP-000050|US-CP-000051","US-CW-000030","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY CONCEPT","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000031","US-CONST-ATOM-000031","F6","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBERSHIP","1","US-CP-000052","US-CW-000031","ORYNTH-systems/orynth-constitutional-state-integrity","INSTITUTION-SCOPED JURISDICTION / QUALIFICATION CONTROL","02-constitutional-object-model/registry/JURISDICTION.yaml","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000032","US-CONST-ATOM-000032","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/QUORUM","1","US-CP-000053","US-CW-000032","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000033","US-CONST-ATOM-000033","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/NO-QUORUM","1","US-CP-000054","US-CW-000033","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000034","US-CONST-ATOM-000034","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/ATTENDANCE","2","US-CP-000055|US-CP-000056","US-CW-000034","ORYNTH-systems/orynth-constitutional-state-integrity","BOUNDED PROCEDURAL AUTHORITY","02-constitutional-object-model/registry/PROCESS.yaml","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000035","US-CONST-ATOM-000035","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/PROCEEDINGS","1","US-CP-000057","US-CW-000035","ORYNTH-systems/orynth-constitutional-state-integrity","INSTITUTION-SCOPED RULE AUTHORITY PATTERN","00-governance/CANONICAL_AUTHORITY_POLICY.md","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000036","US-CONST-ATOM-000036","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-DISCIPLINE","2","US-CP-000058|US-CP-000059","US-CW-000036","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000037","US-CONST-ATOM-000037","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-EXPULSION","1","US-CP-000060","US-CW-000037","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000038","US-CONST-ATOM-000038","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL","1","US-CP-000061","US-CW-000038","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000039","US-CONST-ATOM-000039","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL-PUBLICATION","2","US-CP-000062|US-CP-000063","US-CW-000039","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000040","US-CONST-ATOM-000040","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/RECORDED-VOTE","2","US-CP-000064|US-CP-000065","US-CW-000040","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000041","US-CONST-ATOM-000041","F4","UNITED-STATES/CONGRESS/INTERHOUSE-ADJOURNMENT","2","US-CP-000066|US-CP-000067","US-CW-000041","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000042","US-CONST-ATOM-000042","F3","UNITED-STATES/CONGRESS/MEMBER-COMPENSATION","3","US-CP-000068|US-CP-000069|US-CP-000070","US-CW-000042","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000043","US-CONST-ATOM-000043","F5","UNITED-STATES/CONGRESS/MEMBER-ARREST-PRIVILEGE","2","US-CP-000071|US-CP-000072","US-CW-000043","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000044","US-CONST-ATOM-000044","F5","UNITED-STATES/CONGRESS/SPEECH-DEBATE","1","US-CP-000073","US-CW-000044","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000045","US-CONST-ATOM-000045","F5","UNITED-STATES/FEDERAL/OFFICE-APPOINTMENT/CONGRESSIONAL-INELIGIBILITY","2","US-CP-000074|US-CP-000075","US-CW-000045","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY / CONSTITUTIONAL-PROHIBITION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000046","US-CONST-ATOM-000046","F5","UNITED-STATES/FEDERAL/OFFICE-INCOMPATIBILITY","1","US-CP-000076","US-CW-000046","ORYNTH-systems/orynth-constitutional-state-integrity","INCOMPATIBLE-AUTHORITY-STATE CONCEPT","02-constitutional-object-model/registry/PROHIBITION.yaml","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000047","US-CONST-ATOM-000047","F2","UNITED-STATES/CONGRESS/REVENUE-BILL-ORIGINATION","1","US-CP-000077","US-CW-000047","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000048","US-CONST-ATOM-000048","F3","UNITED-STATES/SENATE/REVENUE-BILL-AMENDMENTS","2","US-CP-000078|US-CP-000079","US-CW-000048","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000049","US-CONST-ATOM-000049","F4","UNITED-STATES/FEDERAL/LEGISLATION/PRESENTMENT","2","US-CP-000080|US-CP-000081","US-CW-000049","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000050","US-CONST-ATOM-000050","F3","UNITED-STATES/PRESIDENT/LEGISLATION-APPROVAL","2","US-CP-000082|US-CP-000083","US-CW-000050","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000051","US-CONST-ATOM-000051","F3","UNITED-STATES/PRESIDENT/LEGISLATION-DISAPPROVAL","3","US-CP-000084|US-CP-000085|US-CP-000086","US-CW-000051","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000052","US-CONST-ATOM-000052","F3","UNITED-STATES/CONGRESS/ORIGINATING-HOUSE/VETO-RECORD","1","US-CP-000087","US-CW-000052","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000053","US-CONST-ATOM-000053","F3","UNITED-STATES/CONGRESS/ORIGINATING-HOUSE/VETO-RECONSIDERATION","2","US-CP-000088|US-CP-000089","US-CW-000053","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000054","US-CONST-ATOM-000054","F4","UNITED-STATES/CONGRESS/VETO-OVERRIDE/FIRST-HOUSE","4","US-CP-000090|US-CP-000091|US-CP-000092|US-CP-000093","US-CW-000054","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000055","US-CONST-ATOM-000055","F4","UNITED-STATES/CONGRESS/VETO-OVERRIDE/SECOND-HOUSE","3","US-CP-000094|US-CP-000095|US-CP-000096","US-CW-000055","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000056","US-CONST-ATOM-000056","F3","UNITED-STATES/CONGRESS/VETO-OVERRIDE/VOTE-METHOD","1","US-CP-000097","US-CW-000056","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000057","US-CONST-ATOM-000057","F3","UNITED-STATES/CONGRESS/VETO-OVERRIDE/JOURNAL","1","US-CP-000098","US-CW-000057","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000058","US-CONST-ATOM-000058","F3","UNITED-STATES/FEDERAL/LEGISLATION/TEN-DAY-RULE","3","US-CP-000099|US-CP-000100|US-CP-000101","US-CW-000058","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED TEMPORAL EFFECT CONTROL","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000059","US-CONST-ATOM-000059","F4","UNITED-STATES/FEDERAL/BICAMERAL-ACTIONS/PRESENTMENT","3","US-CP-000102|US-CP-000103|US-CP-000104","US-CW-000059","ORYNTH-systems/orynth-constitutional-state-integrity","BICAMERAL-PROCESS / PRESENTMENT CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000060","US-CONST-ATOM-000060","F4","UNITED-STATES/FEDERAL/BICAMERAL-ACTIONS/EFFECT","4","US-CP-000105|US-CP-000106|US-CP-000107|US-CP-000108","US-CW-000060","ORYNTH-systems/orynth-constitutional-state-integrity","ALTERNATIVE CONSEQUENCE-AUTHORIZATION PATH","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000061","US-CONST-ATOM-000061","F3","UNITED-STATES/CONGRESS/TAXATION","2","US-CP-000109|US-CP-000110","US-CW-000061","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000062","US-CONST-ATOM-000062","F5","UNITED-STATES/CONGRESS/TAXATION/UNIFORMITY","1","US-CP-000111","US-CW-000062","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000063","US-CONST-ATOM-000063","F3","UNITED-STATES/CONGRESS/BORROWING","1","US-CP-000112","US-CW-000063","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000064","US-CONST-ATOM-000064","F6","UNITED-STATES/CONGRESS/COMMERCE/FOREIGN-INTERSTATE-TRIBAL","1","US-CP-000113","US-CW-000064","ORYNTH-systems/orynth-constitutional-state-integrity","SOURCE-ANCHORED JURISDICTIONAL POWER","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000065","US-CONST-ATOM-000065","F3","UNITED-STATES/CONGRESS/NATURALIZATION","2","US-CP-000114|US-CP-000115","US-CW-000065","ORYNTH-systems/orynth-constitutional-state-integrity","NATURALIZATION / CITIZENSHIP PREDICATE ARCHITECTURE","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000066","US-CONST-ATOM-000066","F3","UNITED-STATES/CONGRESS/BANKRUPTCY","2","US-CP-000116|US-CP-000117","US-CW-000066","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000067","US-CONST-ATOM-000067","F3","UNITED-STATES/CONGRESS/COINAGE","1","US-CP-000118","US-CW-000067","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000068","US-CONST-ATOM-000068","F3","UNITED-STATES/CONGRESS/COIN-VALUE","1","US-CP-000119","US-CW-000068","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000069","US-CONST-ATOM-000069","F3","UNITED-STATES/CONGRESS/WEIGHTS-MEASURES","1","US-CP-000120","US-CW-000069","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000070","US-CONST-ATOM-000070","F3","UNITED-STATES/CONGRESS/COUNTERFEITING","1","US-CP-000121","US-CW-000070","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
