"candidate_id","mechanism_id","mechanism_family","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","derivation_status","orynth_mapping","proof_binding","notes"
"US-CP-CAND-W06-0023","US-CM-000190","F6","INTERSTATE-PRIVILEGES-IMMUNITIES","citizen_entitled_to_privileges_and_immunities_in_several_states == TRUE","The State citizen receives the source-defined interstate privileges and immunities entitlement.","The interstate entitlement is denied.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0024","US-CM-000191","F6","CRIMINAL-CHARGE-CONDITION","person_charged_with in {TREASON,FELONY,OTHER_CRIME}","The person is charged in a State with a source-covered crime.","Extradition is invoked absent the source-defined criminal charge.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0025","US-CM-000191","F6","FLIGHT-CONDITION","person_fled_from_justice == TRUE","The charged person fled from justice.","The interstate delivery mechanism is invoked without flight from justice.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0026","US-CM-000191","F6","FOUND-IN-ANOTHER-STATE","person_found_state != originating_state","The person is found in another State.","The interstate mechanism is invoked without the source-defined interstate location.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0027","US-CM-000191","F6","EXECUTIVE-DEMAND","delivery_demand_actor == EXECUTIVE_AUTHORITY_OF_ORIGINATING_STATE","Demand is made by the executive authority of the State from which the person fled.","Delivery is asserted without the source-defined executive demand.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0028","US-CM-000191","F6","DELIVERY-JURISDICTION","delivery_destination == STATE_HAVING_JURISDICTION_OF_CRIME","The person is delivered to the State having jurisdiction of the crime.","Delivery is directed to a State lacking the source-defined criminal jurisdiction.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0029","US-CM-000192","F5","ORIGINAL-SERVICE-LABOUR-STATUS","original_source_person_held_to_service_or_labour_under_state_law == TRUE","The original source condition of service or labour under State law is present.","The original-text mechanism is attributed without the source status condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0030","US-CM-000192","F5","INTERSTATE-ESCAPE","person_escaped_into_another_state == TRUE","The person escaped into another State.","The original interstate mechanism is invoked without the source escape condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0031","US-CM-000192","F5","RECEIVING-STATE-DISCHARGE-PROHIBITION","receiving_state_law_or_regulation_discharges_service_or_labour == FALSE","The receiving State does not discharge the source-defined service or labour through its law or regulation.","The receiving State effects the discharge prohibited by the original source text.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0032","US-CM-000193","F6","ORIGINAL-DELIVERY-ESCAPE-CONDITION","person_held_to_service_or_labour_escaped_into_another_state == TRUE","The original source interstate escape condition exists.","Delivery is invoked absent the source-defined interstate escape.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0033","US-CM-000193","F6","CLAIM-BY-DUE-PARTY","delivery_claim_actor == PARTY_TO_WHOM_SERVICE_OR_LABOUR_DUE","The delivery claim is made by the source-defined party.","Delivery is asserted without the source-defined claimant condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0034","US-CM-000193","F6","ORIGINAL-DELIVERY-DUTY","person_delivered_up_on_qualifying_claim == TRUE","The original source delivery condition is satisfied upon a qualifying claim.","The source-defined original delivery effect is omitted.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article IV text; supersession remains UNASSESSED."
"US-CP-CAND-W06-0035","US-CM-000194","F3","NEW-STATE-ADMISSION-ACTOR","new_state_admission_actor == CONGRESS","Congress exercises the new-State admission authority.","The admission authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0036","US-CM-000194","F3","NEW-STATE-ADMISSION-EFFECT","admitted_entity_status == STATE_IN_UNION","The congressional admission action concerns a new State into the Union.","The mechanism is attributed outside the source-defined admission effect.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0037","US-CM-000195","F5","INTERNAL-STATE-FORMATION-CONSTRAINT","if proposed_new_state_within_jurisdiction_of_existing_state then formation_requires_article_iv_consent_path == TRUE","Formation within another State's jurisdiction remains subject to the separate constitutional consent pathway.","A new State is treated as freely formable within another State's jurisdiction without the source-linked consent condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0038","US-CM-000196","F4","JUNCTION-FORMATION-SCOPE","state_formation_method in {JUNCTION_OF_TWO_OR_MORE_STATES,JUNCTION_OF_PARTS_OF_STATES}","The formation action is within the junction classes described by the source.","This concurrence mechanism is attributed outside its source-defined formation classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0039","US-CM-000196","F4","AFFECTED-STATE-LEGISLATIVE-CONSENT","all_concerned_state_legislatures_consent == TRUE","The legislatures of all States concerned consent.","The formation proceeds without all required affected-State legislative consent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0040","US-CM-000196","F4","CONGRESSIONAL-CONSENT","congressional_consent == TRUE","Congress consents to the identified State-formation action.","The formation proceeds without the required congressional consent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0041","US-CM-000197","F3","FEDERAL-PROPERTY-DISPOSITION-ACTOR","federal_property_disposition_actor == CONGRESS","Congress exercises the disposition authority.","The source disposition authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0042","US-CM-000197","F3","FEDERAL-PROPERTY-DISPOSITION-SCOPE","disposed_object in {UNITED_STATES_TERRITORY,OTHER_UNITED_STATES_PROPERTY}","The disposed object is territory or other property belonging to the United States.","The disposition power is extended outside the source-defined federal property domain.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0043","US-CM-000198","F3","FEDERAL-PROPERTY-RULE-ACTOR","federal_property_rulemaking_actor == CONGRESS","Congress makes the rules and regulations.","The source regulatory authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0044","US-CM-000198","F3","FEDERAL-PROPERTY-RULE-SCOPE","regulated_object in {UNITED_STATES_TERRITORY,OTHER_UNITED_STATES_PROPERTY}","The regulation concerns territory or other property belonging to the United States.","The regulatory authority is extended outside the source-defined object domain.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0045","US-CM-000198","F3","NEEDFUL-RULE-CONDITION","federal_property_rule_or_regulation_needful == TRUE","The rule or regulation satisfies the source needful condition.","The mechanism is attributed to a rule outside the source-stated condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0046","US-CM-000199","F5","PROTECTED-CLAIM-HOLDER","claim_holder in {UNITED_STATES,PARTICULAR_STATE}","The claim belongs to the United States or a particular State.","The interpretive constraint is attributed outside the source-defined claim holders.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0047","US-CM-000199","F5","NONPREJUDICIAL-CONSTRUCTION","constitutional_construction_prejudices_protected_claim == FALSE","The Constitution is not construed so as to prejudice a protected claim.","A constitutional construction prejudices a source-protected federal or State claim.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0048","US-CM-000200","F3","GUARANTEE-DUTY-ACTOR","republican_government_guarantee_actor == UNITED_STATES","The United States bears the constitutional guarantee duty.","The guarantee duty is attributed to another principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0049","US-CM-000200","F3","EVERY-STATE-REPUBLICAN-GUARANTEE","every_state_in_union_guaranteed_republican_form_of_government == TRUE","Every State in the Union receives the source-defined guarantee.","A State in the Union is omitted from the guarantee duty.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0050","US-CM-000201","F3","INVASION-PROTECTION-ACTOR","invasion_protection_actor == UNITED_STATES","The United States bears the invasion-protection duty.","The protection duty is attributed to another principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0051","US-CM-000201","F3","EVERY-STATE-INVASION-PROTECTION","each_state_protected_against_invasion == TRUE","Each State is protected against invasion.","A State is omitted from the source protection duty.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0052","US-CM-000202","F3","DOMESTIC-VIOLENCE-CONTEXT","protection_context == DOMESTIC_VIOLENCE","The State-protection mechanism concerns domestic violence.","The source mechanism is attributed outside the stated protection context.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0053","US-CM-000202","F3","STATE-APPLICATION-PATH","application_actor in {STATE_LEGISLATURE,STATE_EXECUTIVE}","The application comes from one of the source-authorized State actors.","Federal protection is triggered without a source-authorized State application.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0054","US-CM-000202","F3","EXECUTIVE-APPLICATION-CONDITION","if application_actor == STATE_EXECUTIVE then state_legislature_can_be_convened == FALSE","The executive application path is used when the legislature cannot be convened.","The executive path is used while the legislature can be convened.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0055","US-CM-000202","F3","DOMESTIC-VIOLENCE-PROTECTION-DUTY","upon_valid_application_united_states_protects_state == TRUE","Upon a valid source application, the United States protects the State against domestic violence.","The protection duty is omitted after the source trigger is satisfied.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0056","US-CM-000203","F7","HOUSE-TWO-THIRDS-THRESHOLD","house_members_deeming_amendment_necessary * 3 >= house_relevant_members * 2","Two thirds of the House satisfy the source necessity threshold.","The congressional proposal pathway proceeds below the House threshold.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0057","US-CM-000203","F7","SENATE-TWO-THIRDS-THRESHOLD","senators_deeming_amendment_necessary * 3 >= senate_relevant_members * 2","Two thirds of the Senate satisfy the source necessity threshold.","The congressional proposal pathway proceeds below the Senate threshold.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0058","US-CM-000203","F7","AMENDMENT-NECESSITY-DETERMINATION","both_houses_deem_amendment_necessary == TRUE","Both Houses deem amendment necessary.","The proposal pathway is invoked without the source necessity determination.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0059","US-CM-000203","F7","CONGRESSIONAL-AMENDMENT-PROPOSAL","after_threshold_satisfied congress_proposes_amendment == TRUE","Congress proposes amendments through the source-controlled pathway.","The mutation effect is attributed without the constitutionally required proposal pathway.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0060","US-CM-000204","F7","STATE-LEGISLATURE-APPLICATION-SOURCE","amendment_convention_applications_from_state_legislatures == TRUE","Convention applications originate from State legislatures.","The convention path is attributed to applications from an unauthorized source.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0061","US-CM-000204","F7","TWO-THIRDS-STATES-APPLICATION-THRESHOLD","applying_state_legislatures * 3 >= total_states * 2","Applications satisfy the two-thirds-of-States threshold.","The convention-calling duty is asserted below the source threshold.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0062","US-CM-000204","F7","CONVENTION-CALLING-DUTY","if application_threshold_satisfied then congress_calls_amendment_convention == TRUE","Congress calls a convention when the source threshold is satisfied.","Congress fails to perform the source-defined convention-calling duty after the trigger.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0063","US-CM-000205","F7","PROPOSED-AMENDMENT-STATUS","ratification_subject == PROPOSED_CONSTITUTIONAL_AMENDMENT","The ratification mechanism concerns a proposed amendment.","The state-transition mechanism is attributed to an object outside the amendment process.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0064","US-CM-000205","F7","AUTHORIZED-RATIFICATION-MODE","ratification_mode in {STATE_LEGISLATURES,STATE_CONVENTIONS}","Ratification occurs through one of the two source-authorized modes.","Ratification is asserted through a mode outside the source-defined alternatives.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0065","US-CM-000205","F7","THREE-FOURTHS-RATIFICATION-THRESHOLD","ratifying_states * 4 >= total_states * 3","At least three fourths of the States ratify through the selected mode.","Constitutional validity is asserted below the source threshold.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0066","US-CM-000205","F7","AMENDMENT-VALIDITY-EFFECT","if ratification_threshold_satisfied then amendment_valid_as_part_of_constitution == TRUE","A properly ratified amendment becomes valid as part of the Constitution.","The source-defined constitutional state transition is not reflected after valid ratification.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0067","US-CM-000206","F7","RATIFICATION-MODE-SELECTION-ACTOR","ratification_mode_selecting_actor == CONGRESS","Congress selects the ratification mode.","The source mode-selection authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0068","US-CM-000206","F7","RATIFICATION-MODE-SCOPE","selected_ratification_mode in {STATE_LEGISLATURES,STATE_CONVENTIONS}","Congress selects one of the constitutionally authorized modes.","Congress selects a ratification mode outside the source-defined alternatives.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0069","US-CM-000207","F7","PRE-1808-TEMPORAL-CONDITION","if amendment_year < 1808 then protected_clause_constraint_active == TRUE","The protected-clause constraint applies to amendments made prior to 1808.","The historical temporal restriction is omitted during its source-defined period.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Historical condition only; no present-effect inference."
"US-CP-CAND-W06-0070","US-CM-000207","F7","PROTECTED-CLAUSE-NONALTERATION","if amendment_year < 1808 then amendment_affects_article1_section9_clause1_or_clause4 == FALSE","A pre-1808 amendment does not affect the protected Article I Section 9 clauses.","A pre-1808 amendment affects one of the source-protected clauses.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Historical condition only; no present-effect inference."
"US-CP-CAND-W06-0071","US-CM-000208","F7","EQUAL-SENATE-SUFFRAGE-PROTECTION","if state_deprived_of_equal_senate_suffrage then affected_state_consent == TRUE","A State may be deprived of equal Senate suffrage only with that State's consent.","A State is deprived of equal Senate suffrage without its consent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0072","US-CM-000208","F7","AFFECTED-STATE-CONSENT","equal_suffrage_mutation_consent_actor == AFFECTED_STATE","The constitutionally required consent comes from the affected State.","Consent is attributed to a different principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0073","US-CM-000209","F3","PRECONSTITUTION-OBLIGATION-SCOPE","obligation_origin_time == BEFORE_CONSTITUTION_ADOPTION","The debt or engagement predates adoption of the Constitution.","The continuity mechanism is attributed to an obligation outside the source temporal scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0074","US-CM-000209","F3","OBLIGATION-CONTINUITY","preexisting_obligation_valid_against_united_states_under_constitution == TRUE","The covered preexisting obligation remains valid against the United States.","Adoption of the Constitution is treated as invalidating the covered obligation.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0075","US-CM-000210","F3","SUPREMACY-SOURCE-CLASS","supremacy_source in {UNITED_STATES_CONSTITUTION,LAW_OF_UNITED_STATES}","The source is the Constitution or a law of the United States.","This source predicate is attributed outside the constitutional or federal-law classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0076","US-CM-000210","F3","PURSUANCE-CONDITION","if supremacy_source == LAW_OF_UNITED_STATES then law_made_in_pursuance_of_constitution == TRUE","A federal law participates in the source supremacy formulation only when made in pursuance of the Constitution.","Federal status alone is treated as satisfying the source Pursuance condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0077","US-CM-000211","F3","TREATY-AUTHORITY-CONDITION","treaty_made_under_authority_of_united_states == TRUE","The treaty is made under the authority of the United States.","Treaty supremacy is asserted without the source authority condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0078","US-CM-000211","F3","TREATY-SUPREMACY-EFFECT","qualifying_treaty_status == SUPREME_LAW_OF_LAND","A treaty satisfying the source authority condition participates in the supreme law of the land.","The source-defined supremacy effect is omitted for a qualifying treaty.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0079","US-CM-000212","F3","STATE-JUDGE-BINDING-DUTY","state_judges_bound_by_supreme_law_rule == TRUE","Judges in every State are bound by the source supremacy rule.","A State judge is treated as exempt from the source binding rule.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0080","US-CM-000212","F3","CONTRARY-STATE-LAW-NONDISPLACEMENT","contrary_state_constitution_or_law_displaces_supreme_rule == FALSE","A contrary State constitution or law does not displace the source supremacy rule.","Contrary State law is treated as overriding the binding source rule.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","No judicial-review doctrine imported."
"US-CP-CAND-W06-0081","US-CM-000213","F3","COVERED-OFFICER-CLASS","oath_subject in {US_SENATOR,US_REPRESENTATIVE,STATE_LEGISLATOR,FEDERAL_EXECUTIVE_OFFICER,FEDERAL_JUDICIAL_OFFICER,STATE_EXECUTIVE_OFFICER,STATE_JUDICIAL_OFFICER}","The oath subject falls within a source-covered public office class.","The mechanism is attributed outside the source-defined officer classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0082","US-CM-000213","F3","CROSS-JURISDICTION-SCOPE","oath_subject_jurisdiction in {UNITED_STATES,STATE}","The obligation applies across the federal and State jurisdictions identified by the source.","The constitutional support duty is narrowed contrary to the source jurisdictional scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
