"candidate_id","mechanism_id","mechanism_family","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","derivation_status","orynth_mapping","proof_binding","notes"
"US-CP-CAND-W05-0017","US-CM-000151","F4","PRESIDENTIAL-APPOINTMENT","covered_officer_appointment_actor == PRESIDENT","The President makes the covered appointment.","The source-defined appointment function is attributed to a different actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0018","US-CM-000151","F4","SENATE-ADVICE-CONSENT","covered_officer_appointment_has_senate_advice_and_consent == TRUE","The covered appointment has Senate advice and consent.","The covered appointment is treated as complete without the required Senate participation.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0019","US-CM-000152","F1","INFERIOR-OFFICER-SCOPE","appointment_subject_class == INFERIOR_OFFICER","The alternative appointment mechanism concerns inferior officers.","The mechanism is attributed to an officer class outside the source-defined scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0020","US-CM-000152","F1","CONGRESSIONAL-LAW-VESTING","alternative_appointment_vesting_established_by_congressional_law == TRUE","Congress vests the alternative appointment authority by law.","Alternative appointment authority is asserted without the source-required congressional law.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0021","US-CM-000152","F1","AUTHORIZED-ALTERNATIVE-VESTEE","inferior_officer_appointment_vestee in {PRESIDENT_ALONE,COURT_OF_LAW,HEAD_OF_DEPARTMENT}","The appointment authority is vested in one of the source-authorized alternative principals.","Congress purports to vest the appointment in a principal outside the source-defined set.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0022","US-CM-000153","F3","VACANCY-TRIGGER","federal_office_vacancy_exists == TRUE","A vacancy exists.","Recess appointment authority is asserted where no vacancy exists.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0023","US-CM-000153","F3","SENATE-RECESS-CONDITION","vacancy_happens_during_senate_recess == TRUE","The vacancy satisfies the source Senate-recess condition.","The recess-vacancy power is asserted outside the source-defined recess circumstance.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0024","US-CM-000153","F3","COMMISSION-GRANT","recess_vacancy_commission_granted_by == PRESIDENT","The President fills the qualifying vacancy by granting a commission.","The source-defined recess appointment action is attributed to a different actor or mechanism.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0025","US-CM-000154","F3","RECESS-COMMISSION-SCOPE","commission_origin == RECESS_VACANCY_MECHANISM","The temporal limit applies to a commission granted through the recess-vacancy mechanism.","This expiration rule is attributed to a different commission class.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0026","US-CM-000154","F3","COMMISSION-EXPIRATION","recess_commission_expiration <= END_OF_SENATE_NEXT_SESSION","The recess commission expires no later than the end of the Senate's next session.","The recess commission continues beyond the source-defined expiration point.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0027","US-CM-000155","F3","STATE-OF-UNION-RECIPIENT","state_of_union_information_recipient == CONGRESS","State of the Union information is provided to Congress.","The source-defined information duty omits Congress as recipient.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0028","US-CM-000155","F3","RECURRENT-INFORMATION-DUTY","state_of_union_information_given_from_time_to_time == TRUE","The President provides State of the Union information from time to time.","The constitutional information duty is treated as eliminated.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0029","US-CM-000156","F3","RECOMMENDATION-ACTOR","measure_recommendation_actor == PRESIDENT","The President exercises the recommendation function.","The source-defined recommendation role is attributed to another principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0030","US-CM-000156","F3","RECOMMENDATION-RECIPIENT","measure_recommendation_recipient == CONGRESS","The measures are recommended to Congress for consideration.","The source-defined recommendation is attributed to a different recipient.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0031","US-CM-000156","F3","NECESSARY-EXPEDIENT-JUDGMENT","president_judges_recommended_measure_necessary_and_expedient == TRUE","The recommended measure is one the President judges necessary and expedient.","The recommendation is attributed to this mechanism without the source-defined presidential judgment.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0032","US-CM-000157","F3","EXTRAORDINARY-OCCASION-TRIGGER","extraordinary_occasion_exists == TRUE","An extraordinary occasion exists.","The convening power is invoked absent the source trigger.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0033","US-CM-000157","F3","CONVENING-ACTOR","congress_convening_actor == PRESIDENT","The President exercises the convening authority.","The source-defined convening role is attributed to a different actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0034","US-CM-000157","F3","HOUSE-SCOPE","convened_body in {BOTH_HOUSES,EITHER_HOUSE}","The convening action concerns both Houses or either House.","The action is attributed outside the source-defined congressional body scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0035","US-CM-000158","F3","ADJOURNMENT-DISAGREEMENT-TRIGGER","houses_disagree_on_time_of_adjournment == TRUE","The Houses disagree concerning the time of adjournment.","Presidential adjournment authority is invoked without the source-defined disagreement.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0036","US-CM-000158","F3","ADJOURNMENT-ACTOR","adjournment_actor == PRESIDENT","The President exercises the source adjournment authority.","The source-defined adjournment role is attributed to a different actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0037","US-CM-000158","F3","ADJOURNMENT-TIME-DETERMINATION","adjournment_time == PRESIDENT_DETERMINED_TIME","The adjournment is to the time determined by the President under the source rule.","The source-defined presidential time determination is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0038","US-CM-000159","F3","DIPLOMATIC-RECEPTION-ACTOR","diplomatic_reception_actor == PRESIDENT","The President exercises the diplomatic-reception function.","The source-defined reception function is attributed to a different principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0039","US-CM-000159","F3","DIPLOMATIC-ACTOR-SCOPE","received_diplomatic_actor in {AMBASSADOR,OTHER_PUBLIC_MINISTER}","The received actor is an ambassador or other public minister.","This reception mechanism is attributed outside the source-defined diplomatic classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0040","US-CM-000160","F3","FAITHFUL-EXECUTION-DUTY","president_takes_care_laws_faithfully_executed == TRUE","The President takes care that the laws are faithfully executed.","The source-defined faithful-execution duty is abandoned.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0041","US-CM-000161","F3","COMMISSIONING-ACTOR","federal_officer_commissioning_actor == PRESIDENT","The President exercises the federal-officer commissioning function.","The source commissioning function is attributed to a different principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0042","US-CM-000161","F3","COMMISSIONING-SCOPE","all_officers_of_united_states_commissioned == TRUE","The commissioning duty covers all officers of the United States.","A covered United States officer is omitted from the source commissioning duty.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0043","US-CM-000162","F4","REMOVAL-OFFICEHOLDER-SCOPE","impeachment_removal_subject in {PRESIDENT,VICE_PRESIDENT,CIVIL_OFFICER_OF_UNITED_STATES}","The removal subject is within the source-defined federal officeholder classes.","The removal mechanism is attributed outside the source-defined officeholder scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0044","US-CM-000162","F4","IMPEACHMENT-REQUIRED","covered_officeholder_impeached == TRUE","The covered officeholder has been impeached.","Removal through this mechanism is asserted without impeachment.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0045","US-CM-000162","F4","CONVICTION-REQUIRED","covered_officeholder_convicted == TRUE","The covered officeholder has been convicted.","Removal is asserted on impeachment alone without conviction.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0046","US-CM-000162","F4","IMPEACHMENT-OFFENSE-SCOPE","impeachment_offense in {TREASON,BRIBERY,OTHER_HIGH_CRIME_OR_MISDEMEANOR}","The impeachment and conviction concern an offense class stated in the source.","This removal mechanism is attributed to an offense outside the source-defined classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0047","US-CM-000163","F1","JUDICIAL-AUTHORITY-SOURCE","federal_judicial_power_constitutionally_vested == TRUE","Federal judicial power is constitutionally vested.","Federal judicial authority is treated as arising without the source vesting rule.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0048","US-CM-000163","F1","SUPREME-COURT-VESTEE","supreme_federal_judicial_vestee == ONE_SUPREME_COURT","The source vests federal judicial power in one Supreme Court.","The supreme judicial vesting is attributed to an unidentified alternative supreme tribunal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0049","US-CM-000164","F1","INFERIOR-COURT-CLASS","federal_court_class == INFERIOR_COURT","The court falls within the source-defined inferior federal court class.","The mechanism is attributed to a court outside the source-defined class.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0050","US-CM-000164","F1","CONGRESSIONAL-ESTABLISHMENT","inferior_federal_court_ordained_and_established_by_congress == TRUE","The inferior federal court has been ordained and established by Congress.","Judicial vesting is attributed to an inferior court absent the source-defined congressional establishment.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0051","US-CM-000165","F3","JUDICIAL-OFFICE-SCOPE","judge_court_class in {SUPREME_COURT,INFERIOR_FEDERAL_COURT}","The tenure rule applies to judges of the Supreme or inferior federal courts.","The tenure mechanism is attributed outside the source-defined judicial office scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0052","US-CM-000165","F3","GOOD-BEHAVIOR-CONDITION","judicial_office_continuance_condition == GOOD_BEHAVIOR","Covered federal judges hold office during good behavior.","The source tenure rule is represented without its good-behavior condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0053","US-CM-000166","F3","JUDICIAL-COMPENSATION-ENTITLEMENT","covered_federal_judge_service_compensation_present == TRUE","Covered federal judges receive compensation for their services.","The source-defined judicial compensation entitlement is omitted.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0054","US-CM-000166","F3","JUDICIAL-COMPENSATION-TIMING","judicial_compensation_received_at_stated_times == TRUE","Judicial compensation is received at stated times.","The source-defined compensation timing condition is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0055","US-CM-000167","F5","JUDICIAL-COMPENSATION-NONDIMINUTION","if judge_continues_in_office then judicial_compensation_diminished == FALSE","Covered judicial compensation is not diminished during continuance in office.","Covered judicial compensation is diminished while the judge continues in office.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0056","US-CM-000168","F6","CASE-TYPE","federal_question_matter_type in {LAW,EQUITY}","The matter is a case in law or equity.","The mechanism is attributed outside the source-defined case types.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0057","US-CM-000168","F6","FEDERAL-SOURCE-NEXUS","case_arises_under in {UNITED_STATES_CONSTITUTION,LAWS_OF_UNITED_STATES,TREATY_UNDER_UNITED_STATES_AUTHORITY}","The case arises under the Constitution, laws of the United States, or a treaty made under United States authority.","The federal-question mechanism is asserted without a source-defined federal-law nexus.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0058","US-CM-000169","F6","DIPLOMATIC-CASE-SCOPE","case_affects_actor in {AMBASSADOR,OTHER_PUBLIC_MINISTER,CONSUL}","The case affects an ambassador, other public minister, or consul.","This jurisdictional mechanism is attributed outside the identified diplomatic-actor classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0059","US-CM-000170","F6","ADMIRALTY-MARITIME-SCOPE","case_jurisdiction_domain in {ADMIRALTY,MARITIME}","The case lies within admiralty or maritime jurisdiction.","This jurisdictional mechanism is attributed outside the source-defined domain.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0060","US-CM-000171","F6","UNITED-STATES-PARTY","UNITED_STATES in controversy_parties","The United States is a party to the controversy.","Party-based jurisdiction is asserted where the United States is not a party.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0061","US-CM-000172","F6","INTERSTATE-PARTY-CONFIGURATION","controversy_state_party_count >= 2","The controversy is between two or more States.","The source interstate jurisdiction is asserted without the required State-party configuration.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0062","US-CM-000173","F6","STATE-OTHER-STATE-CITIZEN-CONFIGURATION","controversy_parties_include_state_and_citizen_of_another_state == TRUE","The original source party configuration contains a State and citizens of another State.","This original jurisdictional class is attributed without the source-defined party configuration.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article III text; supersession remains UNASSESSED."
"US-CP-CAND-W05-0063","US-CM-000174","F6","DIFFERENT-STATE-CITIZENSHIP","controversy_citizens_are_of_different_states == TRUE","The controversy is between citizens of different States.","The source diversity configuration is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0064","US-CM-000175","F6","SAME-STATE-CITIZENSHIP","controversy_citizens_same_state == TRUE","The controversy is between citizens of the same State.","The source same-State citizenship condition is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0065","US-CM-000175","F6","CONFLICTING-STATE-LAND-GRANTS","claimed_lands_derive_from_grants_of_different_states == TRUE","The claimed lands arise under grants of different States.","The source-defined conflicting-State-land-grant condition is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0066","US-CM-000176","F6","DOMESTIC-PARTY-CLASS","domestic_party in {STATE,CITIZEN_OF_STATE}","The domestic side of the original source controversy is a State or its citizens.","The original jurisdictional class is attributed without the source-defined domestic party class.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Original Article III text; supersession remains UNASSESSED."
"US-CP-CAND-W05-0067","US-CM-000176","F6","FOREIGN-PARTY-CLASS","foreign_party in {FOREIGN_STATE,FOREIGN_CITIZEN,FOREIGN_SUBJECT}","The opposing party falls within the source-defined foreign-party classes.","The jurisdictional class is attributed without the source-defined foreign-party configuration.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0068","US-CM-000177","F6","ORIGINAL-JURISDICTION-CASE-CLASS","case_class in {AFFECTING_AMBASSADOR,AFFECTING_OTHER_PUBLIC_MINISTER,AFFECTING_CONSUL,STATE_IS_PARTY}","The case falls within a source-defined Supreme Court original-jurisdiction class.","Original jurisdiction is attributed outside the expressly identified case classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0069","US-CM-000177","F6","ORIGINAL-JURISDICTION-COURT","original_jurisdiction_court == SUPREME_COURT","The Supreme Court holds the original jurisdiction identified by the source.","The source-defined original jurisdiction is attributed to a different tribunal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0070","US-CM-000178","F6","APPELLATE-RESIDUAL-CASE-SCOPE","case_in_other_before_mentioned_constitutional_case_classes == TRUE","The case lies within the other constitutionally identified case classes referenced by the source.","Supreme Court appellate jurisdiction is attributed outside the source residual case domain.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0071","US-CM-000178","F6","LAW-AND-FACT-SCOPE","appellate_jurisdiction_dimension in {LAW,FACT}","The appellate jurisdiction extends as to law and fact.","The source appellate allocation is represented outside its stated law-and-fact scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0072","US-CM-000178","F6","CONGRESSIONAL-EXCEPTIONS-REGULATIONS","appellate_jurisdiction_subject_to_congressional_exceptions_and_regulations == TRUE","The appellate jurisdiction remains subject to exceptions and regulations Congress makes.","The source-defined congressional exceptions-and-regulations condition is omitted.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0073","US-CM-000179","F3","CRIMINAL-JURY-REQUIREMENT","if trial_type == CRIME then jury_trial == TRUE","A covered criminal trial is by jury.","A covered criminal trial proceeds without a jury.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0074","US-CM-000179","F3","IMPEACHMENT-TRIAL-EXCEPTION","jury_trial_requirement_applies == (trial_type != IMPEACHMENT)","The jury requirement excludes impeachment cases as stated by the source.","The mechanism fails to preserve the source impeachment exception.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0075","US-CM-000180","F6","CRIMINAL-VENUE","criminal_trial_state == crime_committed_state","The covered criminal trial is held in the State where the crime was committed.","The trial is held in a different State despite the crime having been committed within a State.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
