"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000091","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000092","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000093","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000094","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000095","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000096","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000097","YES","C1","SOURCE-ANCHORED LIMITATION / PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Article I Section 9 is source-anchored and ORYNTH represents constitutional prohibitions and limitations, but this exact substantive restriction or exception is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000098","YES","C2","LAWFUL-PREREQUISITE CONSEQUENCE GATE","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json;17-reference-implementation/src/csi/execution_resolver.py","NONE-EXACT","NOT-GAP","ORYNTH architecture blocks consequential execution when required source, predicate, jurisdiction, authority, or evidence conditions are not satisfied. This matches the structural form of a lawful prerequisite, but the exact Treasury-appropriation rule is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000099","YES","C1","SOURCE-ANCHORED PUBLIC DUTY CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/DUTY.yaml;02-constitutional-object-model/registry/PROCESS.yaml","NONE-EXACT","NOT-GAP","The architecture supports constitutionally sourced duties and processes but does not instantiate the exact public-finance statement, accounting scope, or publication requirement.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000100","YES","C1","SOURCE-ANCHORED PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml","NONE-EXACT","NOT-GAP","ORYNTH represents constitutionally sourced prohibitions, but the exact federal title-of-nobility prohibition is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000101","YES","C1","CONDITIONAL PROHIBITION / CONSENT CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/PROCESS.yaml","NONE-EXACT","NOT-GAP","ORYNTH can represent a source-derived prohibition conditioned on separately authorized process, but the covered officeholder, foreign-benefit classes, foreign-source classes, and congressional-consent exception are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000102","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000103","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000104","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000105","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000106","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000107","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000108","YES","C1","STATE-SCOPED CONSTITUTIONAL PROHIBITION CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","Article I Section 10 is source-anchored and ORYNTH separately types State authority, jurisdiction, and constitutional prohibitions. The exact prohibited State operation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
