"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000052","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000053","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000054","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000055","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000056","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates the constitutionally required yeas-and-nays vote form for veto reconsideration.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000057","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates voter-name entry in each House Journal for veto reconsideration.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000058","YES","C2","SOURCE-ANCHORED TEMPORAL EFFECT CONTROL","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;02-constitutional-object-model/registry/PROCESS.yaml;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json","NONE-EXACT","NOT-GAP","ORYNTH has preexisting temporal-authority and consequence-gating architecture anchored to Article I Section 7. The exact ten-day calculation, Sunday exclusion, and adjournment exception are not implemented.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000059","YES","C1","BICAMERAL-PROCESS / PRESENTMENT CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The architecture can represent source-anchored multi-actor constitutional process, but the exact order-resolution-vote presentment rule and adjournment exception are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000060","YES","C2","ALTERNATIVE CONSEQUENCE-AUTHORIZATION PATH","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json;17-reference-implementation/src/csi/execution_resolver.py","NONE-EXACT","NOT-GAP","ORYNTH preexisting execution architecture independently gates consequential effect on source, predicates, jurisdiction and authority and can structurally represent alternative authorization paths. The exact presidential-approval or two-thirds-repassage rule is not formally encoded.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000061","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is source-anchored and ORYNTH formally recognizes constitutionally sourced powers and scoped authority, but the exact fiscal subject and condition in this mechanism is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000062","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is source-anchored and ORYNTH formally recognizes constitutionally sourced powers and scoped authority, but the exact fiscal subject and condition in this mechanism is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000063","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is source-anchored and ORYNTH formally recognizes constitutionally sourced powers and scoped authority, but the exact fiscal subject and condition in this mechanism is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000064","YES","C2","SOURCE-ANCHORED JURISDICTIONAL POWER","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;02-constitutional-object-model/registry/JURISDICTION.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py","NONE-EXACT","NOT-GAP","The preexisting architecture explicitly represents constitutionally sourced jurisdictional boundaries and executable operation-specific jurisdiction. The exact foreign/interstate/Tribal commerce domains are not registered, so the match is architectural rather than formal.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000065","YES","C2","NATURALIZATION / CITIZENSHIP PREDICATE ARCHITECTURE","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;07-constitutional-state-integrity/citizenship/CONSTITUTIONAL_CITIZENSHIP_EXECUTION_GRAPH.yaml;11-citizenship-module/predicates/CITIZENSHIP_PREDICATE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Preexisting ORYNTH includes an executable constitutional citizenship graph and separately typed birth-or-naturalization predicate architecture. It does not encode the exact Article I congressional uniform-naturalization-rule mechanism, so correspondence is architectural.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000066","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000067","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000068","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000069","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000070","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000071","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000072","YES","C1","ARTICLE-I-SECTION-8 ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is preexisting as a valid constitutional source anchor and ORYNTH recognizes scoped constitutional powers, but the exact substantive power represented by this mechanism is not instantiated in the admitted baseline evidence.","NOT-PERFORMED","NOT-PERFORMED"
