"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000023","YES","C1","TYPED PROCEDURAL-PREREQUISITE CONCEPT","02-constitutional-object-model/registry/PROCESS.yaml;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json","NONE-EXACT","NOT-GAP","Preexisting ORYNTH supports mandatory process and prerequisite gating, but the Senate impeachment oath/affirmation prerequisite is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000024","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk ORYNTH evidence demonstrates the Chief-Justice presiding assignment for a presidential impeachment trial.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000025","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates the two-thirds-of-members-present concurrence threshold for impeachment conviction.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000026","YES","C2","CONSEQUENCE-SCOPE LIMITATION / PROHIBITION","02-constitutional-object-model/registry/LIMITATION.yaml;02-constitutional-object-model/registry/PROHIBITION.yaml;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json","GENERIC-CONSEQUENCE-GATE","NOT-GAP","ORYNTH formally separates authority from consequential permission and models limitations/prohibitions, but the specific impeachment-removal/disqualification consequence boundary is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000027","YES","C2","INDEPENDENTLY-TYPED STATE / CONSEQUENCE SEPARATION","13-invariants/CSI_CANONICAL_INVARIANTS.md;07-constitutional-state-integrity/inherited-state/INHERITED_STATE_CONTRACT.json;07-constitutional-state-integrity/finality/FINALITY_CONTRACT.json","GENERIC-INDEPENDENT-STATE CONTROL","NOT-GAP","Preexisting ORYNTH preserves independently typed states and prevents one finality state from erasing other dependency or authority states. Exact impeachment-versus-criminal-process separation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000028","YES","C3","STATE-LEGISLATURE DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json;08-jurisdiction-and-evidence/resolver/JURISDICTION_RULES.json;17-reference-implementation/src/csi/authority_resolver.py;17-reference-implementation/src/csi/jurisdiction_resolver.py","Executable resolver path exists, but no dedicated admitted vector proves this exact State-Legislature operation.","NOT-GAP","This is a strong formal match: STATE_LEGISLATURE is expressly authorized for DEFINE_CONGRESSIONAL_ELECTION_RULE and jurisdiction rules bind that operation to Article I Section 4. Grade remains C3 until exact executable proof is bound.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000029","YES","C2","CONGRESS DEFINE_CONGRESSIONAL_ELECTION_RULE","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json;08-jurisdiction-and-evidence/resolver/JURISDICTION_RULES.json;17-reference-implementation/src/csi/authority_resolver.py;17-reference-implementation/src/csi/jurisdiction_resolver.py","GENERIC-EXECUTABLE-RESOLVERS","NOT-GAP","Congress is formally registered for congressional-election rule definition and Federal jurisdiction is recognized, but the source exception concerning places of choosing Senators is not demonstrated. Whole-mechanism correspondence is therefore architectural rather than formal-complete.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000030","YES","C1","TEMPORAL-AUTHORITY CONCEPT","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;17-reference-implementation/src/csi/temporal_authority.py","TEMPORAL-RESOLVER-GENERIC","NOT-GAP","Temporal enforcement exists generally, but annual congressional assembly, default meeting day, and lawful alteration are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000031","YES","C2","INSTITUTION-SCOPED JURISDICTION / QUALIFICATION CONTROL","02-constitutional-object-model/registry/JURISDICTION.yaml;02-constitutional-object-model/registry/QUALIFICATION.yaml;13-invariants/CSI_EXECUTABLE_KERNEL_INVARIANTS.md;17-reference-implementation/src/csi/jurisdiction_resolver.py","GENERIC-JURISDICTION-RESOLVER","NOT-GAP","ORYNTH has operation-specific jurisdiction and typed qualification controls, but does not instantiate House/Senate self-judging authority over their own elections, returns, and qualifications.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000032","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk evidence demonstrates a majority-of-each-House quorum threshold.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000033","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk evidence demonstrates the limited adjournment authority of a number smaller than quorum.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000034","YES","C1","BOUNDED PROCEDURAL AUTHORITY","02-constitutional-object-model/registry/PROCESS.yaml;17-reference-implementation/src/csi/authority_resolver.py","NONE-EXACT","NOT-GAP","ORYNTH conceptually requires operation-specific authority and process, but compelling attendance, House-specific manner, and penalty authority are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000035","YES","C2","INSTITUTION-SCOPED RULE AUTHORITY PATTERN","00-governance/CANONICAL_AUTHORITY_POLICY.md;17-reference-implementation/src/csi/authority_resolver.py;13-invariants/CSI_EXECUTABLE_KERNEL_INVARIANTS.md","GENERIC-AUTHORITY-RESOLVER","NOT-GAP","The architecture formally supports institution/actor-specific operation scope. Exact House and Senate internal proceeding-rule authority is not registered.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000036","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates House-specific disciplinary punishment authority for disorderly behavior.","NOT-PERFORMED","NOT-PERFORMED"
