"mechanism_id","orynth_candidate_mechanism","evidence_paths","correspondence_grade","rationale"
"US-CM-000192","HISTORICAL-SOURCE / SUPERSESSION-AWARE PROHIBITION CONCEPT","00-governance/SOURCE_PRECEDENCE_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml","C1","ORYNTH preserves foundational source separately from later amendatory source and prohibits silent source mutation, but the original service-or-labour discharge prohibition is not independently implemented and supersession remains unreconciled in this wave."
"US-CM-000193","HISTORICAL-SOURCE / INTERSTATE-DELIVERY CONCEPT","00-governance/SOURCE_PRECEDENCE_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml","C1","The architecture can preserve the original source and its later amendatory relationship, but it does not independently implement the historical claimant-and-delivery mechanism."
"US-CM-000194","ENUMERATED LEGISLATIVE ADMISSION / FEDERAL-RELATIONS ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","ORYNTH's legislative authority and federal-relations layers correspond architecturally to Congress as the admission principal; no exact new-State admission operation is registered."
"US-CM-000195","STATE-FORMATION JURISDICTION / NEGATIVE-CONSTRAINT ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Explicit State jurisdiction and Article IV relational boundaries correspond architecturally to restricting State formation inside another State's jurisdiction; exact territorial formation predicates are absent."
"US-CM-000196","FEDERAL-STATE MULTIPARTY CONCURRENCE ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Independent State and legislative authority classes support architecture for required concurrence among affected States and Congress; the exact Article IV formation consent path is not formally encoded."
"US-CM-000197","ENUMERATED LEGISLATIVE PROPERTY-DISPOSITION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Operation-scoped legislative authority corresponds architecturally to a bounded federal-property disposition power; the territory/property object classes are not independently registered."
"US-CM-000198","ENUMERATED LEGISLATIVE PROPERTY-RULEMAKING ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","The preexisting architecture supports source-bounded legislative rulemaking authority and scope constraints, corresponding to federal territory/property regulation; the exact needful-rule predicate is absent."
"US-CM-000199","SOURCE-PRESERVING INTERPRETIVE-CONSTRAINT CONCEPT","00-governance/CONSTITUTIONAL_NON_MUTATION.md;00-governance/SOURCE_PRECEDENCE_POLICY.md;00-governance/CANONICAL_AUTHORITY_POLICY.md","C1","ORYNTH formally prevents derived interpretation from silently mutating constitutional source, but it does not independently represent the specific nonprejudice rule for United States or State property claims."
"US-CM-000200","FEDERAL-STATE GUARANTEE / PROTECTION-DUTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Article IV federal relations explicitly include duty and protection object classes, corresponding architecturally to the republican-government guarantee; no republican-form state predicate is independently implemented."
"US-CM-000201","FEDERAL-STATE PROTECTION-DUTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","The Article IV protection architecture corresponds to a federal protection obligation across State jurisdiction, while the invasion-specific trigger and duty are not independently registered."
"US-CM-000202","CONDITION-TRIGGERED FEDERAL-STATE PROTECTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","ORYNTH supports actor-, predicate- and jurisdiction-conditioned consequential action, corresponding architecturally to the domestic-violence application pathway; the legislature/executive trigger hierarchy is not clause-specifically implemented."
"US-CM-000203","CONTROLLED AMENDMENT / MULTI-HOUSE PROPOSAL ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;01-constitutional-source-map/ratification/RATIFICATION_REGISTRY.yaml","C2","ORYNTH explicitly represents an amendment process, AMENDATORY_CONSTITUTIONAL authority and AMENDMENT transformations, corresponding architecturally to controlled proposal; the two-thirds thresholds for both Houses are not independently formalized."
"US-CM-000204","CONTROLLED AMENDMENT / STATE-APPLICATION CONVENTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;01-constitutional-source-map/ratification/RATIFICATION_REGISTRY.yaml","C2","Preexisting amendment transformation and State/legislative authority architecture can represent the convention pathway, but the two-thirds-of-States trigger and mandatory congressional call are not independently encoded."
"US-CM-000205","CONTROLLED AMENDMENT / RATIFICATION-STATE-TRANSITION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;01-constitutional-source-map/ratification/RATIFICATION_REGISTRY.yaml","C2","ORYNTH has an explicit amendment transformation type and a ratification registry requiring ratification provenance, corresponding architecturally to constitutional-state transition; the three-fourths threshold, two authorized modes and validity effect are not formally implemented."
"US-CM-000206","CONTROLLED AMENDMENT / RATIFICATION-MODE AUTHORITY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;00-governance/CONSTITUTIONAL_NON_MUTATION.md;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;01-constitutional-source-map/ratification/RATIFICATION_REGISTRY.yaml","C2","Amendatory authority and ratification provenance are preexisting architectural objects, but no exact congressional selector for State-legislature versus State-convention ratification mode is implemented."
"US-CM-000207","CONTROLLED AMENDMENT / TEMPORAL-LIMITATION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;17-reference-implementation/src/csi/temporal_authority.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Amendment transformations carry temporal scope and ORYNTH has a temporal resolver, corresponding architecturally to a time-bounded mutation restriction; the pre-1808 protected-clause rule itself is not encoded."
"US-CM-000208","CONTROLLED AMENDMENT / AFFECTED-STATE CONSENT ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/transformations/CONSTITUTIONAL_TRANSFORMATION.schema.yaml;07-constitutional-state-integrity/transformations/CONSTITUTIONAL_TRANSFORMATION_CONTRACT.json;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","C2","Amendment limitation architecture and independently typed State authority correspond to an affected-principal consent constraint, but equal Senate suffrage and its exact State-consent rule are not independently formalized."
"US-CM-000209","INHERITED-STATE / CONSTITUTIONAL-CONTINUITY ARCHITECTURE","07-constitutional-state-integrity/inherited-state/INHERITED_STATE_CONTRACT.json;00-governance/SOURCE_PRECEDENCE_POLICY.md;03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml","C2","ORYNTH has a formal inherited-state object with origin, dependency chain, current state and validation state, providing architectural correspondence to continuity across a constitutional transition; the Confederation debt-and-engagement class itself is not registered."
"US-CM-000210","SOURCE-PRECEDENCE / SUPREMACY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/SOURCE_PRECEDENCE_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Article VI is explicitly modeled as supremacy-and-oaths architecture, while ORYNTH preserves constitutional source precedence and derived-authority lineage; the exact pursuance test for federal laws is not implemented."
"US-CM-000211","AUTHORITY-CONDITIONED SUPREMACY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/SOURCE_PRECEDENCE_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Source lineage and authority-scope architecture correspond to the requirement that a treaty's supreme-law status depend on United States authority; no treaty-specific supremacy operation is independently registered."
"US-CM-000212","CROSS-JURISDICTION SUPREMACY / BINDING-DUTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/SOURCE_PRECEDENCE_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py","C2","Article VI's supremacy-and-oaths branch plus jurisdiction and source-precedence architecture correspond to binding State actors despite conflicting lower-level state; the exact State-judge non-displacement rule is not independently implemented."
"US-CM-000213","CROSS-JURISDICTION CONSTITUTIONAL-SUPPORT DUTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Article VI is explicitly typed for duty and authority across constitutional architecture, corresponding to an oath-or-affirmation support obligation; the complete enumerated federal and State officer set is not independently registered."
"US-CM-000214","ARTICLE-VI PROHIBITION / QUALIFICATION-BOUNDARY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","C2","The Article VI architecture explicitly includes prohibition and independently typed authority/qualification concepts, corresponding architecturally to a no-religious-test boundary; the exact office/public-trust prohibition is not independently implemented."
"US-CM-000215","FOUNDATIONAL RATIFICATION / ESTABLISHMENT ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;01-constitutional-source-map/ratification/RATIFICATION_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md;00-governance/SOURCE_PRECEDENCE_POLICY.md","C2","Article VII is explicitly modeled as ratification process and authority, and a ratification registry is structurally established; the nine-State convention threshold and ratifying-State effect boundary are not independently formalized."
