"crosswalk_id","mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","preexisting_status","correspondence_grade","review_status"
"US-CW-000039","US-CM-000039","US-CONST-ATOM-000039","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL-PUBLICATION","Each House must publish its Journal from time to time, subject to an exception for portions it judges to require secrecy.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000040","US-CM-000040","US-CONST-ATOM-000040","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/RECORDED-VOTE","At the request of one fifth of members present, the yeas and nays on a question must be entered on the Journal.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000041","US-CM-000041","US-CONST-ATOM-000041","F4","UNITED-STATES/CONGRESS/INTERHOUSE-ADJOURNMENT","During a session of Congress, either House requires consent of the other to adjourn for more than three days or to another place.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000042","US-CM-000042","US-CONST-ATOM-000042","F3","UNITED-STATES/CONGRESS/MEMBER-COMPENSATION","Senators and Representatives are entitled to compensation for their services, with the amount ascertained by law and payment from the United States Treasury.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000043","US-CM-000043","US-CONST-ATOM-000043","F5","UNITED-STATES/CONGRESS/MEMBER-ARREST-PRIVILEGE","Members of Congress are protected from arrest during the stated legislative attendance and travel periods, except for Treason, Felony, and Breach of the Peace.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000044","US-CM-000044","US-CONST-ATOM-000044","F5","UNITED-STATES/CONGRESS/SPEECH-DEBATE","Members may not be questioned in another place for Speech or Debate in either House.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000047","US-CM-000047","US-CONST-ATOM-000047","F2","UNITED-STATES/CONGRESS/REVENUE-BILL-ORIGINATION","Authority to originate bills for raising revenue is allocated to the House of Representatives.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000048","US-CM-000048","US-CONST-ATOM-000048","F3","UNITED-STATES/SENATE/REVENUE-BILL-AMENDMENTS","The Senate may propose or concur with amendments to revenue bills as it may with other bills.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000056","US-CM-000056","US-CONST-ATOM-000056","F3","UNITED-STATES/CONGRESS/VETO-OVERRIDE/VOTE-METHOD","Votes of both Houses in the veto-reconsideration process must be determined by yeas and nays.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000057","US-CM-000057","US-CONST-ATOM-000057","F3","UNITED-STATES/CONGRESS/VETO-OVERRIDE/JOURNAL","The names of persons voting for and against a reconsidered bill must be entered on the Journal of each House.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
