"mechanism_id","orynth_candidate_mechanism","evidence_paths","correspondence_grade","rationale"
"US-CM-000155","EXECUTIVE-DUTY / INSTITUTIONAL-RECIPIENT CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Executive constitutional duties are represented at branch architecture level; the State-of-the-Union recurring information duty is not independently modeled."
"US-CM-000156","EXECUTIVE-RECOMMENDATION / AUTHORITY-SEPARATION CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","ORYNTH preserves executive and legislative authority as distinct classes, conceptually matching recommendation versus enactment; no necessary-and-expedient recommendation mechanism is formalized."
"US-CM-000157","CONDITIONED EXECUTIVE PROCESS CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Conditioned executive process is conceptually represented, but no extraordinary-occasion congressional-convening operation is independently modeled."
"US-CM-000158","CONFLICT-TRIGGERED EXECUTIVE PROCESS CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","C1","ORYNTH represents authority conflicts, but not the specific inter-House adjournment disagreement trigger or presidential time-selection authority."
"US-CM-000159","EXECUTIVE-AUTHORITY / DIPLOMATIC-FUNCTION CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Executive authority and operation scope are preexisting concepts, but ambassador/public-minister reception is not independently registered."
"US-CM-000160","CONSTITUTIONAL EXECUTION / AUTHORITY-GATED CONSEQUENCE ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH expressly treats constitutional source, authority, predicates, jurisdiction and admissible execution as separate required layers, providing architectural correspondence to faithful execution; the presidential Take Care duty itself is not independently formalized."
"US-CM-000161","EXECUTIVE-OFFICE ACTION / OPERATION-SCOPED AUTHORITY CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Operation-scoped executive authority is preexisting, but the universal presidential federal-officer commissioning duty is not independently modeled."
"US-CM-000162","MULTI-STAGE CONSTITUTIONAL EFFECT / AUTHORITY-SEPARATION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml","C2","ORYNTH preserves independently typed authority, process stages and consequence gating, architecturally corresponding to impeachment-plus-conviction removal; exact impeachment offense and institutional stages are not independently formalized."
"US-CM-000163","JUDICIAL-AUTHORITY / CONSTITUTIONAL-VESTING ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Article III is explicitly represented as a judicial authority/jurisdiction/process branch and JUDICIAL remains independently typed; the one-Supreme-Court vestee is not independently formalized as an executable authority registry."
"US-CM-000164","JUDICIAL-AUTHORITY / SOURCE-DEPENDENT INSTITUTIONAL VESTING ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml","C2","Source lineage and independently typed judicial authority correspond architecturally to conditional institutional vesting, but congressional establishment of inferior courts is not separately implemented."
"US-CM-000165","TEMPORALLY CONDITIONED JUDICIAL AUTHORITY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/temporal_authority.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH represents judicial authority and explicit temporal validity conditions; the constitutional good-behavior tenure predicate itself is not implemented."
"US-CM-000166","JUDICIAL-DUTY / COMPENSATION CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Judicial constitutional state and duty classes exist conceptually, but no federal judicial compensation entitlement or stated-time payment mechanism is independently represented."
"US-CM-000167","JUDICIAL-LIMITATION / NONDIMINUTION CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Article III limitations are recognized architecturally, but no judicial compensation nondiminution predicate or compensation-state model exists independently."
"US-CM-000168","JUDICIAL-JURISDICTION / SOURCE-NEXUS ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Judicial jurisdiction is explicitly an Article III architectural class and ORYNTH resolves operation-specific jurisdiction with source anchors; exact federal-question case classes are not registered."
"US-CM-000169","JUDICIAL-JURISDICTION / ACTOR-SCOPED CASE ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH has source-anchored scoped jurisdiction architecture, but no ambassador/public-minister/consul case domain is independently registered."
"US-CM-000170","JUDICIAL-JURISDICTION / DOMAIN-SCOPED ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Domain-bounded jurisdiction resolution preexists architecturally; admiralty and maritime case domains are not independently encoded."
"US-CM-000171","JUDICIAL-JURISDICTION / PARTY-SCOPED ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Operation- and jurisdiction-scoped authority architecture corresponds to party-bounded jurisdiction, but the United-States-as-party rule is not independently implemented."
"US-CM-000172","JUDICIAL-JURISDICTION / MULTI-STATE PARTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH preserves jurisdictional state and actor scope; the two-or-more-State controversy configuration is not independently registered."
"US-CM-000173","JUDICIAL-JURISDICTION / STATE-CITIZEN PARTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Party/jurisdiction scoping corresponds architecturally, but the original Article III State-versus-other-State-citizen class is not separately implemented and later amendment reconciliation remains outside this wave."
"US-CM-000174","JUDICIAL-JURISDICTION / CITIZENSHIP-SCOPED ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Preexisting jurisdiction architecture requires explicit scope and can reject out-of-scope operation states; different-State citizenship diversity is not independently registered."
"US-CM-000175","JUDICIAL-JURISDICTION / COMPOSITE-PREDICATE ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH architecture supports predicate- and jurisdiction-bounded resolution, corresponding to composite jurisdiction conditions; the same-State/different-land-grant pair is not independently encoded."
"US-CM-000176","JUDICIAL-JURISDICTION / DOMESTIC-FOREIGN PARTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Scoped judicial jurisdiction architecture preexists, but the source-defined domestic/foreign party classes are not independently registered and amendment reconciliation remains unperformed."
"US-CM-000177","SUPREME-JUDICIAL / ORIGINAL-JURISDICTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","Article III jurisdiction and source-anchored jurisdiction resolution exist architecturally; exact Supreme Court original-jurisdiction case classes are not independently implemented."
"US-CM-000178","SUPREME-JUDICIAL / APPELLATE-JURISDICTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH has explicit judicial jurisdiction architecture and bounded jurisdiction resolution, but the residual appellate domain and congressional exceptions/regulations mechanism are not independently formalized."
"US-CM-000179","JUDICIAL-PROCESS / PROCEDURAL-PREREQUISITE CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Article III process and procedural authority are recognized conceptually, but no criminal-jury requirement or impeachment exception is independently modeled."
"US-CM-000180","JUDICIAL-JURISDICTION / TERRITORIAL-SCOPE ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH requires explicit jurisdictional scope and rejects out-of-scope jurisdiction states, corresponding architecturally to territorial venue; the crime-state equality rule is not independently registered."
