"mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","final_predicate_count","planned_first_predicate_id","planned_last_predicate_id","independent_condition_summary","decision_basis","count_decision","review_status"
"US-CM-000226","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","4","US-CP-000434","US-CP-000437","probable-cause condition; oath-or-affirmation support; particular place description; particular persons-or-things description","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000227","US-AM-ATOM-000012","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000438","US-CP-000440","covered capital-or-infamous charge; grand-jury presentment-or-indictment requirement; source-stated military-service exception","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000228","US-AM-ATOM-000013","F5","UNITED-STATES/CRIMINAL/DOUBLE-JEOPARDY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000441","US-CP-000442","same-offence identity condition; second-jeopardy prohibition","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000229","US-AM-ATOM-000014","F5","UNITED-STATES/CRIMINAL/SELF-INCRIMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall be compelled in any criminal case to be a witness against himself,","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000443","US-CP-000444","criminal-case scope; compelled self-witness prohibition","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000230","US-AM-ATOM-000015","F5","UNITED-STATES/DUE-PROCESS/LIFE-LIBERTY-PROPERTY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor be deprived of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000445","US-CP-000446","deprivation of life/liberty/property; due-process prerequisite","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000231","US-AM-ATOM-000016","F5","UNITED-STATES/TAKINGS/PUBLIC-USE/JUST-COMPENSATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall private property be taken for public use, without just compensation.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000447","US-CP-000448","public-use taking condition; just-compensation prerequisite","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000232","US-AM-ATOM-000017","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000449","US-CP-000451","criminal-prosecution scope; speedy-trial right; public-trial right","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000233","US-AM-ATOM-000018","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000452","US-CP-000454","impartial-jury requirement; State-and-district venue requirement; district previously ascertained by law","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000234","US-AM-ATOM-000019","F3","UNITED-STATES/CRIMINAL/ACCUSATION/NOTICE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to be informed of the nature and cause of the accusation","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000455","US-CP-000455","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000235","US-AM-ATOM-000020","F3","UNITED-STATES/CRIMINAL/WITNESS-CONFRONTATION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to be confronted with the witnesses against him","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000456","US-CP-000456","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000236","US-AM-ATOM-000021","F3","UNITED-STATES/CRIMINAL/COMPULSORY-PROCESS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to have compulsory process for obtaining witnesses in his favor","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000457","US-CP-000457","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000237","US-AM-ATOM-000022","F3","UNITED-STATES/CRIMINAL/ASSISTANCE-OF-COUNSEL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to have the Assistance of Counsel for his defence.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000458","US-CP-000458","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000238","US-AM-ATOM-000023","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000459","US-CP-000461","common-law suit scope; value-in-controversy threshold; jury-trial preservation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000239","US-AM-ATOM-000024","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000462","US-CP-000464","fact previously tried by jury; re-examination in a United States court; re-examination according to common-law rules","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000240","US-AM-ATOM-000025","F5","UNITED-STATES/BAIL/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: Excessive bail shall not be required","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000465","US-CP-000465","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000241","US-AM-ATOM-000026","F5","UNITED-STATES/FINES/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: nor excessive fines imposed","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000466","US-CP-000466","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000242","US-AM-ATOM-000027","F5","UNITED-STATES/PUNISHMENT/CRUEL-UNUSUAL","The Constitution establishes this prohibition, right-protection, or negative constraint: nor cruel and unusual punishments inflicted.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000467","US-CP-000467","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000243","US-AM-ATOM-000028","F5","UNITED-STATES/RIGHTS/UNENUMERATED","The Constitution establishes this prohibition, right-protection, or negative constraint: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000468","US-CP-000468","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000244","US-AM-ATOM-000029","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","3","US-CP-000469","US-CP-000471","power not delegated to United States; power not prohibited to States; reservation to States respectively or the people","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000245","US-AM-ATOM-000030","F6","UNITED-STATES/JUDICIAL-POWER/STATE-SOVEREIGNTY","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","2","US-CP-000472","US-CP-000473","covered suit against a State; plaintiff class is citizen of another State or citizen/subject of foreign state","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000246","US-AM-ATOM-000031","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","3","US-CP-000474","US-CP-000476","electors meet in respective States; voting by ballot; vote covers President and Vice-President","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000247","US-AM-ATOM-000031","F5","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this negative constraint: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","An elector slate is not constitutionally established under this mechanism if both persons voted for are inhabitants of the same state as the electors.","1","US-CP-000477","US-CP-000477","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000248","US-AM-ATOM-000032","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/DISTINCT-BALLOTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000478","US-CP-000479","President choice named on ballot; Vice-President choice named on a distinct ballot","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000249","US-AM-ATOM-000033","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/VOTE-LISTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000480","US-CP-000482","distinct President list; distinct Vice-President list; number of votes recorded for each","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000250","US-AM-ATOM-000034","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/CERTIFICATION-TRANSMISSION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000483","US-CP-000486","lists signed; lists certified; lists transmitted sealed to seat of government; transmission directed to President of Senate","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000251","US-AM-ATOM-000035","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/CERTIFICATES/OPENING","The Constitution establishes this scoped power, duty, qualification, or procedural rule: -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000487","US-CP-000489","President of Senate as opening actor; Senate and House presence; all certificates opened","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000252","US-AM-ATOM-000036","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/VOTE-COUNT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and the votes shall then be counted","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000490","US-CP-000490","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000253","US-AM-ATOM-000037","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/PRESIDENT/MAJORITY-SELECTION","The Constitution establishes this concurrence, quorum, majority, or threshold rule: -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000491","US-CP-000492","greatest-number condition; majority-of-whole-electors threshold","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000254","US-AM-ATOM-000038","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/CONTINGENT-SELECTION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and if no person have such majority, then from the persons having the highest numbers not exceeding three on the list of those voted for as President, the House of Representatives shall choose immediately, by ballot, the President","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000493","US-CP-000496","no-majority trigger; candidate pool limited to highest numbers not exceeding three; House selection; immediate ballot procedure","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000255","US-AM-ATOM-000039","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/STATE-VOTING","The Constitution establishes this concurrence, quorum, majority, or threshold rule: But in choosing the President, the votes shall be taken by states, the representation from each state having one vote","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000497","US-CP-000498","votes taken by States; each State representation has one vote","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000256","US-AM-ATOM-000040","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/QUORUM","The Constitution establishes this concurrence, quorum, majority, or threshold rule: a quorum for this purpose shall consist of a member or members from two-thirds of the states","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","1","US-CP-000499","US-CP-000499","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000257","US-AM-ATOM-000041","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/CHOICE-THRESHOLD","The Constitution establishes this concurrence, quorum, majority, or threshold rule: and a majority of all the states shall be necessary to a choice","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","1","US-CP-000500","US-CP-000500","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000258","US-AM-ATOM-000042","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/HOUSE/FAILURE-TO-CHOOSE/TRANSITION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: [And if the House of Representatives shall not choose a President whenever the right of choice shall devolve upon them, before the fourth day of March next following, then the Vice-President shall act as President, as in the case of the death or other constitutional disability of the President. --]*","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000501","US-CP-000503","House failure-to-choose trigger after right devolves; source deadline; Vice-President acting-President consequence","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000259","US-AM-ATOM-000043","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/VICE-PRESIDENT/MAJORITY-SELECTION","The Constitution establishes this concurrence, quorum, majority, or threshold rule: The person having the greatest number of votes as Vice-President, shall be the Vice-President, if such number be a majority of the whole number of Electors appointed","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000504","US-CP-000505","greatest-number condition; majority-of-whole-electors threshold","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
