"predicate_id","mechanism_id","predicate_ordinal_within_mechanism","mechanism_predicate_count","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","independent_condition_summary","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","status","review_status"
"US-CP-000432","US-CM-000224","2","2","US-AM-ATOM-000009","F5","UNITED-STATES/SOLDIER-QUARTERING/WAR","The Constitution establishes this prohibition, right-protection, or negative constraint: nor in time of war, but in a manner to be prescribed by law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","war-time trigger; quartering only in a manner prescribed by law","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000433","US-CM-000225","1","1","US-AM-ATOM-000010","F5","UNITED-STATES/SEARCH-SEIZURE/UNREASONABLE","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000434","US-CM-000226","1","4","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","probable-cause condition; oath-or-affirmation support; particular place description; particular persons-or-things description","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000435","US-CM-000226","2","4","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","probable-cause condition; oath-or-affirmation support; particular place description; particular persons-or-things description","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000436","US-CM-000226","3","4","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","probable-cause condition; oath-or-affirmation support; particular place description; particular persons-or-things description","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000437","US-CM-000226","4","4","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","probable-cause condition; oath-or-affirmation support; particular place description; particular persons-or-things description","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000438","US-CM-000227","1","3","US-AM-ATOM-000012","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","covered capital-or-infamous charge; grand-jury presentment-or-indictment requirement; source-stated military-service exception","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000439","US-CM-000227","2","3","US-AM-ATOM-000012","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","covered capital-or-infamous charge; grand-jury presentment-or-indictment requirement; source-stated military-service exception","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000440","US-CM-000227","3","3","US-AM-ATOM-000012","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","covered capital-or-infamous charge; grand-jury presentment-or-indictment requirement; source-stated military-service exception","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000441","US-CM-000228","1","2","US-AM-ATOM-000013","F5","UNITED-STATES/CRIMINAL/DOUBLE-JEOPARDY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","same-offence identity condition; second-jeopardy prohibition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000442","US-CM-000228","2","2","US-AM-ATOM-000013","F5","UNITED-STATES/CRIMINAL/DOUBLE-JEOPARDY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","same-offence identity condition; second-jeopardy prohibition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000443","US-CM-000229","1","2","US-AM-ATOM-000014","F5","UNITED-STATES/CRIMINAL/SELF-INCRIMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall be compelled in any criminal case to be a witness against himself,","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","criminal-case scope; compelled self-witness prohibition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000444","US-CM-000229","2","2","US-AM-ATOM-000014","F5","UNITED-STATES/CRIMINAL/SELF-INCRIMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall be compelled in any criminal case to be a witness against himself,","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","criminal-case scope; compelled self-witness prohibition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000445","US-CM-000230","1","2","US-AM-ATOM-000015","F5","UNITED-STATES/DUE-PROCESS/LIFE-LIBERTY-PROPERTY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor be deprived of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","deprivation of life/liberty/property; due-process prerequisite","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000446","US-CM-000230","2","2","US-AM-ATOM-000015","F5","UNITED-STATES/DUE-PROCESS/LIFE-LIBERTY-PROPERTY","The Constitution establishes this prohibition, right-protection, or negative constraint: nor be deprived of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","deprivation of life/liberty/property; due-process prerequisite","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000447","US-CM-000231","1","2","US-AM-ATOM-000016","F5","UNITED-STATES/TAKINGS/PUBLIC-USE/JUST-COMPENSATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall private property be taken for public use, without just compensation.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","public-use taking condition; just-compensation prerequisite","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000448","US-CM-000231","2","2","US-AM-ATOM-000016","F5","UNITED-STATES/TAKINGS/PUBLIC-USE/JUST-COMPENSATION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall private property be taken for public use, without just compensation.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","public-use taking condition; just-compensation prerequisite","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000449","US-CM-000232","1","3","US-AM-ATOM-000017","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","criminal-prosecution scope; speedy-trial right; public-trial right","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000450","US-CM-000232","2","3","US-AM-ATOM-000017","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","criminal-prosecution scope; speedy-trial right; public-trial right","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000451","US-CM-000232","3","3","US-AM-ATOM-000017","F3","UNITED-STATES/CRIMINAL/TRIAL/SPEEDY-PUBLIC","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","criminal-prosecution scope; speedy-trial right; public-trial right","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000452","US-CM-000233","1","3","US-AM-ATOM-000018","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","impartial-jury requirement; State-and-district venue requirement; district previously ascertained by law","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000453","US-CM-000233","2","3","US-AM-ATOM-000018","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","impartial-jury requirement; State-and-district venue requirement; district previously ascertained by law","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000454","US-CM-000233","3","3","US-AM-ATOM-000018","F3","UNITED-STATES/CRIMINAL/JURY/VENUE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","impartial-jury requirement; State-and-district venue requirement; district previously ascertained by law","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000455","US-CM-000234","1","1","US-AM-ATOM-000019","F3","UNITED-STATES/CRIMINAL/ACCUSATION/NOTICE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to be informed of the nature and cause of the accusation","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000456","US-CM-000235","1","1","US-AM-ATOM-000020","F3","UNITED-STATES/CRIMINAL/WITNESS-CONFRONTATION","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to be confronted with the witnesses against him","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000457","US-CM-000236","1","1","US-AM-ATOM-000021","F3","UNITED-STATES/CRIMINAL/COMPULSORY-PROCESS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: to have compulsory process for obtaining witnesses in his favor","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000458","US-CM-000237","1","1","US-AM-ATOM-000022","F3","UNITED-STATES/CRIMINAL/ASSISTANCE-OF-COUNSEL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and to have the Assistance of Counsel for his defence.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000459","US-CM-000238","1","3","US-AM-ATOM-000023","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","common-law suit scope; value-in-controversy threshold; jury-trial preservation","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000460","US-CM-000238","2","3","US-AM-ATOM-000023","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","common-law suit scope; value-in-controversy threshold; jury-trial preservation","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000461","US-CM-000238","3","3","US-AM-ATOM-000023","F3","UNITED-STATES/CIVIL/JURY-TRIAL","The Constitution establishes this scoped power, duty, qualification, or procedural rule: In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","common-law suit scope; value-in-controversy threshold; jury-trial preservation","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000462","US-CM-000239","1","3","US-AM-ATOM-000024","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","fact previously tried by jury; re-examination in a United States court; re-examination according to common-law rules","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000463","US-CM-000239","2","3","US-AM-ATOM-000024","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","fact previously tried by jury; re-examination in a United States court; re-examination according to common-law rules","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000464","US-CM-000239","3","3","US-AM-ATOM-000024","F5","UNITED-STATES/CIVIL/JURY-FACT-REEXAMINATION","The Constitution establishes this prohibition, right-protection, or negative constraint: and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","fact previously tried by jury; re-examination in a United States court; re-examination according to common-law rules","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000465","US-CM-000240","1","1","US-AM-ATOM-000025","F5","UNITED-STATES/BAIL/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: Excessive bail shall not be required","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000466","US-CM-000241","1","1","US-AM-ATOM-000026","F5","UNITED-STATES/FINES/EXCESSIVE","The Constitution establishes this prohibition, right-protection, or negative constraint: nor excessive fines imposed","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000467","US-CM-000242","1","1","US-AM-ATOM-000027","F5","UNITED-STATES/PUNISHMENT/CRUEL-UNUSUAL","The Constitution establishes this prohibition, right-protection, or negative constraint: nor cruel and unusual punishments inflicted.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000468","US-CM-000243","1","1","US-AM-ATOM-000028","F5","UNITED-STATES/RIGHTS/UNENUMERATED","The Constitution establishes this prohibition, right-protection, or negative constraint: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000469","US-CM-000244","1","3","US-AM-ATOM-000029","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","power not delegated to United States; power not prohibited to States; reservation to States respectively or the people","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000470","US-CM-000244","2","3","US-AM-ATOM-000029","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","power not delegated to United States; power not prohibited to States; reservation to States respectively or the people","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000471","US-CM-000244","3","3","US-AM-ATOM-000029","F6","UNITED-STATES/FEDERALISM/RESERVED-POWERS","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","power not delegated to United States; power not prohibited to States; reservation to States respectively or the people","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000472","US-CM-000245","1","2","US-AM-ATOM-000030","F6","UNITED-STATES/JUDICIAL-POWER/STATE-SOVEREIGNTY","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","covered suit against a State; plaintiff class is citizen of another State or citizen/subject of foreign state","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000473","US-CM-000245","2","2","US-AM-ATOM-000030","F6","UNITED-STATES/JUDICIAL-POWER/STATE-SOVEREIGNTY","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","covered suit against a State; plaintiff class is citizen of another State or citizen/subject of foreign state","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000474","US-CM-000246","1","3","US-AM-ATOM-000031","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","electors meet in respective States; voting by ballot; vote covers President and Vice-President","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000475","US-CM-000246","2","3","US-AM-ATOM-000031","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","electors meet in respective States; voting by ballot; vote covers President and Vice-President","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000476","US-CM-000246","3","3","US-AM-ATOM-000031","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this scoped procedural rule: Electors shall meet in their respective states and vote by ballot for President and Vice-President.","The elector meeting and voting procedure is not established outside the source-defined actors, offices, ballot method, and respective-state setting.","electors meet in respective States; voting by ballot; vote covers President and Vice-President","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000477","US-CM-000247","1","1","US-AM-ATOM-000031","F5","UNITED-STATES/PRESIDENTIAL-ELECTION/ELECTORS/MEETING-VOTING","The Constitution establishes this negative constraint: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","An elector slate is not constitutionally established under this mechanism if both persons voted for are inhabitants of the same state as the electors.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
