"predicate_id","mechanism_id","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","status"
"US-CP-000450","US-CM-000232","RIGHT-PROTECTION","cm_000232_speedy_trial_right == TRUE","Source-defined condition is satisfied: speedy-trial right.","Source-defined condition is not satisfied: speedy-trial right.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000451","US-CM-000232","RIGHT-PROTECTION","cm_000232_public_trial_right == TRUE","Source-defined condition is satisfied: public-trial right.","Source-defined condition is not satisfied: public-trial right.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000452","US-CM-000233","SCOPED-CONDITION","cm_000233_impartial_jury_requirement == TRUE","Source-defined condition is satisfied: impartial-jury requirement.","Source-defined condition is not satisfied: impartial-jury requirement.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000453","US-CM-000233","JURISDICTION","cm_000233_state_and_district_venue_requirement == TRUE","Source-defined condition is satisfied: State-and-district venue requirement.","Source-defined condition is not satisfied: State-and-district venue requirement.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000454","US-CM-000233","SCOPED-CONDITION","cm_000233_district_previously_ascertained_by_law == TRUE","Source-defined condition is satisfied: district previously ascertained by law.","Source-defined condition is not satisfied: district previously ascertained by law.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000455","US-CM-000234","SCOPED-CONDITION","cm_000234_and_to_be_informed_of_the_nature_and_cause_of_the_accusation == TRUE","Source-defined condition is satisfied: and to be informed of the nature and cause of the accusation.","Source-defined condition is not satisfied: and to be informed of the nature and cause of the accusation.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000456","US-CM-000235","SCOPED-CONDITION","cm_000235_to_be_confronted_with_the_witnesses_against_him == TRUE","Source-defined condition is satisfied: to be confronted with the witnesses against him.","Source-defined condition is not satisfied: to be confronted with the witnesses against him.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000457","US-CM-000236","SCOPED-CONDITION","cm_000236_to_have_compulsory_process_for_obtaining_witnesses_in_his_favor == TRUE","Source-defined condition is satisfied: to have compulsory process for obtaining witnesses in his favor.","Source-defined condition is not satisfied: to have compulsory process for obtaining witnesses in his favor.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000458","US-CM-000237","SCOPED-CONDITION","cm_000237_and_to_have_the_assistance_of_counsel_for_his_defence == TRUE","Source-defined condition is satisfied: and to have the Assistance of Counsel for his defence.","Source-defined condition is not satisfied: and to have the Assistance of Counsel for his defence.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000459","US-CM-000238","SCOPED-CONDITION","cm_000238_common_law_suit_scope == TRUE","Source-defined condition is satisfied: common-law suit scope.","Source-defined condition is not satisfied: common-law suit scope.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000460","US-CM-000238","THRESHOLD","cm_000238_value_in_controversy_threshold == TRUE","Source-defined condition is satisfied: value-in-controversy threshold.","Source-defined condition is not satisfied: value-in-controversy threshold.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000461","US-CM-000238","RIGHT-PROTECTION","cm_000238_jury_trial_preservation == TRUE","Source-defined condition is satisfied: jury-trial preservation.","Source-defined condition is not satisfied: jury-trial preservation.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000462","US-CM-000239","PROHIBITION","cm_000239_fact_previously_tried_by_jury == TRUE","Source-defined condition is satisfied: fact previously tried by jury.","Source-defined condition is not satisfied: fact previously tried by jury.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000463","US-CM-000239","PROHIBITION","cm_000239_re_examination_in_a_united_states_court == TRUE","Source-defined condition is satisfied: re-examination in a United States court.","Source-defined condition is not satisfied: re-examination in a United States court.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000464","US-CM-000239","PROHIBITION","cm_000239_re_examination_according_to_common_law_rules == TRUE","Source-defined condition is satisfied: re-examination according to common-law rules.","Source-defined condition is not satisfied: re-examination according to common-law rules.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000465","US-CM-000240","PROHIBITION","cm_000240_excessive_bail_shall_not_be_required == TRUE","Source-defined condition is satisfied: Excessive bail shall not be required.","Source-defined condition is not satisfied: Excessive bail shall not be required.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000466","US-CM-000241","PROHIBITION","cm_000241_nor_excessive_fines_imposed == TRUE","Source-defined condition is satisfied: nor excessive fines imposed.","Source-defined condition is not satisfied: nor excessive fines imposed.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000467","US-CM-000242","PROHIBITION","cm_000242_nor_cruel_and_unusual_punishments_inflicted == TRUE","Source-defined condition is satisfied: nor cruel and unusual punishments inflicted.","Source-defined condition is not satisfied: nor cruel and unusual punishments inflicted.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000468","US-CM-000243","PROHIBITION","cm_000243_the_enumeration_in_the_constitution_of_certain_rights_shall_not_be_con == TRUE","Source-defined condition is satisfied: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","Source-defined condition is not satisfied: The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000469","US-CM-000244","JURISDICTION-BOUNDARY","cm_000244_power_not_delegated_to_united_states == TRUE","Source-defined condition is satisfied: power not delegated to United States.","Source-defined condition is not satisfied: power not delegated to United States.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000470","US-CM-000244","JURISDICTION-BOUNDARY","cm_000244_power_not_prohibited_to_states == TRUE","Source-defined condition is satisfied: power not prohibited to States.","Source-defined condition is not satisfied: power not prohibited to States.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000471","US-CM-000244","JURISDICTION-BOUNDARY","cm_000244_reservation_to_states_respectively_or_the_people == TRUE","Source-defined condition is satisfied: reservation to States respectively or the people.","Source-defined condition is not satisfied: reservation to States respectively or the people.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000472","US-CM-000245","JURISDICTION-BOUNDARY","cm_000245_covered_suit_against_a_state == TRUE","Source-defined condition is satisfied: covered suit against a State.","Source-defined condition is not satisfied: covered suit against a State.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000473","US-CM-000245","QUALIFICATION-STATUS","cm_000245_plaintiff_class_is_citizen_of_another_state_or_citizen_subject_of_fore == TRUE","Source-defined condition is satisfied: plaintiff class is citizen of another State or citizen/subject of foreign state.","Source-defined condition is not satisfied: plaintiff class is citizen of another State or citizen/subject of foreign state.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000474","US-CM-000246","SCOPED-CONDITION","cm_000246_electors_meet_in_respective_states == TRUE","Source-defined condition is satisfied: electors meet in respective States.","Source-defined condition is not satisfied: electors meet in respective States.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000475","US-CM-000246","PROCEDURAL-PREREQUISITE","cm_000246_voting_by_ballot == TRUE","Source-defined condition is satisfied: voting by ballot.","Source-defined condition is not satisfied: voting by ballot.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000476","US-CM-000246","PROCEDURAL-PREREQUISITE","cm_000246_vote_covers_president_and_vice_president == TRUE","Source-defined condition is satisfied: vote covers President and Vice-President.","Source-defined condition is not satisfied: vote covers President and Vice-President.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000477","US-CM-000247","PROHIBITION","cm_000247_at_least_one_of_the_persons_voted_for_as_president_and_vice_president == TRUE","Source-defined condition is satisfied: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","Source-defined condition is not satisfied: at least one of the persons voted for as President and Vice-President shall not be an inhabitant of the same state as the electors.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000478","US-CM-000248","PROCEDURAL-PREREQUISITE","cm_000248_president_choice_named_on_ballot == TRUE","Source-defined condition is satisfied: President choice named on ballot.","Source-defined condition is not satisfied: President choice named on ballot.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000479","US-CM-000248","PROCEDURAL-PREREQUISITE","cm_000248_vice_president_choice_named_on_a_distinct_ballot == TRUE","Source-defined condition is satisfied: Vice-President choice named on a distinct ballot.","Source-defined condition is not satisfied: Vice-President choice named on a distinct ballot.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000480","US-CM-000249","SCOPED-CONDITION","cm_000249_distinct_president_list == TRUE","Source-defined condition is satisfied: distinct President list.","Source-defined condition is not satisfied: distinct President list.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000481","US-CM-000249","SCOPED-CONDITION","cm_000249_distinct_vice_president_list == TRUE","Source-defined condition is satisfied: distinct Vice-President list.","Source-defined condition is not satisfied: distinct Vice-President list.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000482","US-CM-000249","THRESHOLD","cm_000249_number_of_votes_recorded_for_each == TRUE","Source-defined condition is satisfied: number of votes recorded for each.","Source-defined condition is not satisfied: number of votes recorded for each.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000483","US-CM-000250","PROCEDURAL-PREREQUISITE","cm_000250_lists_signed == TRUE","Source-defined condition is satisfied: lists signed.","Source-defined condition is not satisfied: lists signed.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000484","US-CM-000250","PROCEDURAL-PREREQUISITE","cm_000250_lists_certified == TRUE","Source-defined condition is satisfied: lists certified.","Source-defined condition is not satisfied: lists certified.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000485","US-CM-000250","PROCEDURAL-PREREQUISITE","cm_000250_lists_transmitted_sealed_to_seat_of_government == TRUE","Source-defined condition is satisfied: lists transmitted sealed to seat of government.","Source-defined condition is not satisfied: lists transmitted sealed to seat of government.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000486","US-CM-000250","AUTHORIZED-ACTOR","cm_000250_transmission_directed_to_president_of_senate == TRUE","Source-defined condition is satisfied: transmission directed to President of Senate.","Source-defined condition is not satisfied: transmission directed to President of Senate.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000487","US-CM-000251","AUTHORIZED-ACTOR","cm_000251_president_of_senate_as_opening_actor == TRUE","Source-defined condition is satisfied: President of Senate as opening actor.","Source-defined condition is not satisfied: President of Senate as opening actor.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000488","US-CM-000251","SCOPED-CONDITION","cm_000251_senate_and_house_presence == TRUE","Source-defined condition is satisfied: Senate and House presence.","Source-defined condition is not satisfied: Senate and House presence.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000489","US-CM-000251","PROCEDURAL-PREREQUISITE","cm_000251_all_certificates_opened == TRUE","Source-defined condition is satisfied: all certificates opened.","Source-defined condition is not satisfied: all certificates opened.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000490","US-CM-000252","SCOPED-CONDITION","cm_000252_and_the_votes_shall_then_be_counted == TRUE","Source-defined condition is satisfied: and the votes shall then be counted.","Source-defined condition is not satisfied: and the votes shall then be counted.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000491","US-CM-000253","THRESHOLD","cm_000253_greatest_number_condition == TRUE","Source-defined condition is satisfied: greatest-number condition.","Source-defined condition is not satisfied: greatest-number condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000492","US-CM-000253","THRESHOLD","cm_000253_majority_of_whole_electors_threshold == TRUE","Source-defined condition is satisfied: majority-of-whole-electors threshold.","Source-defined condition is not satisfied: majority-of-whole-electors threshold.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000493","US-CM-000254","THRESHOLD","cm_000254_no_majority_trigger == TRUE","Source-defined condition is satisfied: no-majority trigger.","Source-defined condition is not satisfied: no-majority trigger.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000494","US-CM-000254","SCOPED-CONDITION","cm_000254_candidate_pool_limited_to_highest_numbers_not_exceeding_three == TRUE","Source-defined condition is satisfied: candidate pool limited to highest numbers not exceeding three.","Source-defined condition is not satisfied: candidate pool limited to highest numbers not exceeding three.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000495","US-CM-000254","AUTHORIZED-ACTOR","cm_000254_house_selection == TRUE","Source-defined condition is satisfied: House selection.","Source-defined condition is not satisfied: House selection.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000496","US-CM-000254","PROCEDURAL-PREREQUISITE","cm_000254_immediate_ballot_procedure == TRUE","Source-defined condition is satisfied: immediate ballot procedure.","Source-defined condition is not satisfied: immediate ballot procedure.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000497","US-CM-000255","CONCURRENCE-THRESHOLD","cm_000255_votes_taken_by_states == TRUE","Source-defined condition is satisfied: votes taken by States.","Source-defined condition is not satisfied: votes taken by States.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000498","US-CM-000255","CONCURRENCE-THRESHOLD","cm_000255_each_state_representation_has_one_vote == TRUE","Source-defined condition is satisfied: each State representation has one vote.","Source-defined condition is not satisfied: each State representation has one vote.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000499","US-CM-000256","THRESHOLD","cm_000256_a_quorum_for_this_purpose_shall_consist_of_a_member_or_members_from_tw == TRUE","Source-defined condition is satisfied: a quorum for this purpose shall consist of a member or members from two-thirds of the states.","Source-defined condition is not satisfied: a quorum for this purpose shall consist of a member or members from two-thirds of the states.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000500","US-CM-000257","THRESHOLD","cm_000257_and_a_majority_of_all_the_states_shall_be_necessary_to_a_choice == TRUE","Source-defined condition is satisfied: and a majority of all the states shall be necessary to a choice.","Source-defined condition is not satisfied: and a majority of all the states shall be necessary to a choice.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000501","US-CM-000258","TEMPORAL-CONDITION","cm_000258_house_failure_to_choose_trigger_after_right_devolves == TRUE","Source-defined condition is satisfied: House failure-to-choose trigger after right devolves.","Source-defined condition is not satisfied: House failure-to-choose trigger after right devolves.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000502","US-CM-000258","TEMPORAL-CONDITION","cm_000258_source_deadline == TRUE","Source-defined condition is satisfied: source deadline.","Source-defined condition is not satisfied: source deadline.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000503","US-CM-000258","SCOPED-CONDITION","cm_000258_vice_president_acting_president_consequence == TRUE","Source-defined condition is satisfied: Vice-President acting-President consequence.","Source-defined condition is not satisfied: Vice-President acting-President consequence.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000504","US-CM-000259","THRESHOLD","cm_000259_greatest_number_condition == TRUE","Source-defined condition is satisfied: greatest-number condition.","Source-defined condition is not satisfied: greatest-number condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000505","US-CM-000259","THRESHOLD","cm_000259_majority_of_whole_electors_threshold == TRUE","Source-defined condition is satisfied: majority-of-whole-electors threshold.","Source-defined condition is not satisfied: majority-of-whole-electors threshold.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000506","US-CM-000260","THRESHOLD","cm_000260_no_majority_trigger == TRUE","Source-defined condition is satisfied: no-majority trigger.","Source-defined condition is not satisfied: no-majority trigger.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000507","US-CM-000260","AUTHORIZED-ACTOR","cm_000260_senate_as_selection_actor == TRUE","Source-defined condition is satisfied: Senate as selection actor.","Source-defined condition is not satisfied: Senate as selection actor.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000508","US-CM-000260","SCOPED-CONDITION","cm_000260_candidate_pool_limited_to_two_highest == TRUE","Source-defined condition is satisfied: candidate pool limited to two highest.","Source-defined condition is not satisfied: candidate pool limited to two highest.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000509","US-CM-000261","THRESHOLD","cm_000261_a_quorum_for_the_senate_s_contingent_choice_of_vice_president_shall_co == TRUE","Source-defined condition is satisfied: a quorum for the Senate's contingent choice of Vice-President shall consist of two-thirds of the whole number of Senators.","Source-defined condition is not satisfied: a quorum for the Senate's contingent choice of Vice-President shall consist of two-thirds of the whole number of Senators.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000510","US-CM-000262","THRESHOLD","cm_000262_a_majority_of_the_whole_number_of_senators_is_necessary_to_choose_the == TRUE","Source-defined condition is satisfied: a majority of the whole number of Senators is necessary to choose the Vice-President in the Senate contingent procedure.","Source-defined condition is not satisfied: a majority of the whole number of Senators is necessary to choose the Vice-President in the Senate contingent procedure.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000511","US-CM-000263","QUALIFICATION-STATUS","cm_000263_but_no_person_constitutionally_ineligible_to_the_office_of_president_s == TRUE","Source-defined condition is satisfied: But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","Source-defined condition is not satisfied: But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000512","US-CM-000264","PROHIBITION","cm_000264_neither_slavery == TRUE","Source-defined condition is satisfied: Neither slavery.","Source-defined condition is not satisfied: Neither slavery.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000513","US-CM-000265","PROHIBITION","cm_000265_involuntary_servitude_prohibition == TRUE","Source-defined condition is satisfied: involuntary-servitude prohibition.","Source-defined condition is not satisfied: involuntary-servitude prohibition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
