"candidate_clause_id","parent_source_unit_id","article","section","candidate_ordinal","normalized_text_sha256","decision","split_specification","atomicity_finding","decision_basis","anchor_validation_view","source_text_changed","constitutional_role","doctrine_used","orynth_concepts_used","adjudication_status"
"US-CONST-ART01-SEC06-CL000-AT005","US-CONST-ART01-SEC06-CL000","1","6","5","B48149423F10BDECFD79624E4302484B01EA0921BA16F037F1636BF1E023802F","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one incompatibility prohibition on simultaneous federal officeholding and congressional membership.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT001","US-CONST-ART01-SEC07-CL000","1","7","1","E0BD760172F27646FB3B2C4AC579A518A7476BF6B82FE4C39F3D1EA43331B345","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the House-origination requirement for revenue bills.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT002","US-CONST-ART01-SEC07-CL000","1","7","2","51993874B1D1C684A476A6F00EFCF06DDEDB3E50D60726B24FC07837816607FA","FURTHER-SPLIT","SPLIT-BEFORE=""Every Bill which shall have passed the House of Representatives and the Senate""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The Senate's authority to propose or concur in amendments to revenue bills is distinct from the general presidential-presentment requirement for bills passed by both Houses.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT003","US-CONST-ART01-SEC07-CL000","1","7","3","EAD765C0235D0D29BA8C8266A3B0A872D7DE6D99DE8FC9D449E42F593CD67F9E","FURTHER-SPLIT","SPLIT-BEFORE=""but if not he shall return it""; SPLIT-BEFORE=""who shall enter the Objections at large on their Journal""; SPLIT-BEFORE=""and proceed to reconsider it""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Presidential approval, presidential return with objections, journal entry of objections, and reconsideration are separately stated procedural requirements.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT004","US-CONST-ART01-SEC07-CL000","1","7","4","782B75B2BF13D00387D3328D4AB38626C548AD805138165D45DA4111985E1932","FURTHER-SPLIT","SPLIT-BEFORE=""and if approved by two thirds of that House""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The first-House reconsideration and transmission sequence is distinguishable from the second-House two-thirds approval condition producing law.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT005","US-CONST-ART01-SEC07-CL000","1","7","5","2E6250F499EC2F37A6009844E7D0D4EF6CA4EF50A3CBB59D00CAC438C4D1BA06","FURTHER-SPLIT","SPLIT-BEFORE=""and the Names of the Persons voting for and against the Bill shall be entered""; SPLIT-BEFORE=""If any Bill shall not be returned by the President""; SPLIT-BEFORE=""Every Order, Resolution, or Vote to which the Concurrence of the Senate and House of Representatives may be necessary""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The candidate contains distinct vote-recording requirements, the ten-day return/default-law rule with its adjournment exception, and the presentment requirement for qualifying orders, resolutions, and votes.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC07-CL000-AT006","US-CONST-ART01-SEC07-CL000","1","7","6","3103B3356EB7B86515A53083F6F146DA70F4A294D4504044058CF8DDD5CA14B2","RETAIN","","ADJUDICATED-ATOMIC","Presidential approval or two-thirds repassage are alternative effect conditions within one integrated presentment rule.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT001","US-CONST-ART01-SEC08-CL000","1","8","1","4004EBD82F2D368F4A1007D28F1912154819366DFB5B258AA0E9C29DCE0257CE","RETAIN","","ADJUDICATED-ATOMIC","The taxing power and its stated debt, common-defense, and general-welfare purposes form one integrated enumerated grant.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT002","US-CONST-ART01-SEC08-CL000","1","8","2","E2D6257AF2739604E77F9B2B0114A36CBCD2CAEB84DB1F1BEECCFA935B16DC22","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the geographic uniformity requirement for Duties, Imposts, and Excises.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT003","US-CONST-ART01-SEC08-CL000","1","8","3","F864BD7AE6112D589F079CB922F3C4515EC79759BEA09E1797B340FAC4FCACF9","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the borrowing power as one proposition.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT004","US-CONST-ART01-SEC08-CL000","1","8","4","572E7AFE5C7F3F7524BA599FF629B0FB8682066CE91A3A943A8124C9625BACDE","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one commerce-regulation grant across its three expressly listed domains.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT005","US-CONST-ART01-SEC08-CL000","1","8","5","124528F7739C11682E7FF01CB134DA71AD940C9B632DE3CA1AD7D33B091BBBE6","FURTHER-SPLIT","SPLIT-BEFORE=""and uniform Laws on the subject of Bankruptcies""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The naturalization rule and bankruptcy-law authority are separately stated enumerated powers.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT006","US-CONST-ART01-SEC08-CL000","1","8","6","E391D88982776332CF7E6F206CA3C7E66FBAF7B3BD85B74538D3AB8BB01DF7F2","FURTHER-SPLIT","SPLIT-BEFORE=""regulate the Value thereof""; SPLIT-BEFORE=""and fix the Standard of Weights and Measures""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Coinage, regulation of monetary value, and establishment of weights-and-measures standards are separately testable grants.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT007","US-CONST-ART01-SEC08-CL000","1","8","7","68A120DF321A5A440308A9F418E9AAC34FC46F13382CB4E67C49FF5AC2E2524C","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one power to provide punishment for counterfeiting the listed federal securities and coin.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT008","US-CONST-ART01-SEC08-CL000","1","8","8","C1FD75098AC13E48180A4F492FBFC3F9DF300505F25E8DD1883D22A7529AA5B9","RETAIN","","ADJUDICATED-ATOMIC","Post Offices and post Roads are expressed together under one establishment power.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT009","US-CONST-ART01-SEC08-CL000","1","8","9","E7769B6C26F76B2C17E11057561061DAE726B957094C61BBA462344FEEB19E14","RETAIN","","ADJUDICATED-ATOMIC","The progress-of-science-and-arts objective and limited exclusive-right mechanism form one integrated grant.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT010","US-CONST-ART01-SEC08-CL000","1","8","10","4469FE85CA84A2C9E56A6213B9D115774230488EB79977E7D1F2B297D5F86E9A","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the power to constitute inferior tribunals.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT011","US-CONST-ART01-SEC08-CL000","1","8","11","B62110F8D3B6553BF8D8C4BF849E7F5C2A593E69D0A5ADB1C5B39609DC07B335","RETAIN","","ADJUDICATED-ATOMIC","The listed piracy, high-seas felony, and law-of-nations offenses appear within one define-and-punish grant.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT012","US-CONST-ART01-SEC08-CL000","1","8","12","2714EF323778A0B77697FE8DD891467A5CA2A20A5B57589AADC3A6B2025CFACA","FURTHER-SPLIT","SPLIT-BEFORE=""grant Letters of Marque and Reprisal""; SPLIT-BEFORE=""and make Rules concerning Captures on Land and Water""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Declaration of war, Letters of Marque and Reprisal, and rules concerning captures are separately stated powers.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT013","US-CONST-ART01-SEC08-CL000","1","8","13","0E58B989EF7F237A2EBA766A45CDD64052DE3F700F9F483E2F35B9E54FB65404","FURTHER-SPLIT","SPLIT-BEFORE=""but no Appropriation of Money to that Use shall be for a longer Term than two Years""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The power to raise and support Armies is textually distinct from the two-year limitation on appropriations for that use.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT014","US-CONST-ART01-SEC08-CL000","1","8","14","6DFF9804AC5228A13EC32685DAD9C9AB851D657D5AE2D22E739F87714E23D64B","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the Navy provision as one grant.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT015","US-CONST-ART01-SEC08-CL000","1","8","15","8F050A2123923B89B20064FA7E7CB3ABE0BFDCFBC2DBF3E40F08590A8F016A58","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one rulemaking power governing the land and naval forces.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT016","US-CONST-ART01-SEC08-CL000","1","8","16","587BE64972F1C12A44217690F27A84BA0247698D0DB3BACF60CFFA0C9CCDE7CB","RETAIN","","ADJUDICATED-ATOMIC","Calling forth the Militia is stated as one grant with three enumerated purposes.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT017","US-CONST-ART01-SEC08-CL000","1","8","17","00AB82F4446E7232B51430C6E88807BFD5A606EC3F5DA2A3D76B8A0D96A24F4A","FURTHER-SPLIT","SPLIT-BEFORE=""and for governing such Part of them as may be employed in the Service of the United States""; SPLIT-BEFORE=""reserving to the States respectively, the Appointment of the Officers""; SPLIT-BEFORE=""and the Authority of training the Militia""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Militia organization and discipline, federal governance of militia in federal service, state officer-appointment authority, and state training authority are distinct textual propositions.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT018","US-CONST-ART01-SEC08-CL000","1","8","18","DDB306EE979B00822DD7BCF534B32772DC3F4A5AB334BCAFFA51B4100F2E9455","FURTHER-SPLIT","SPLIT-BEFORE=""and to exercise like Authority over all Places purchased by the Consent of the Legislature of the State""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Exclusive legislation over the federal district and like authority over federally acquired sites subject to state consent are separately conditioned grants.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC08-CL000-AT019","US-CONST-ART01-SEC08-CL000","1","8","19","FEE1B44D9EF636D00239A8069ED9A655976DCECB112CD04EFC904E3F6711443D","RETAIN","","ADJUDICATED-ATOMIC","The Necessary and Proper provision states one integrated implementing-law power tied to constitutionally vested powers.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
