"mechanism_id","source_clause_id","source_global_ordinal","source_text_sha256","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","source_text_mutation","doctrine_used","orynth_concepts_used","predicate_created","normalization_status"
"US-CM-000083","US-CONST-ATOM-000083","83","42027CD7CB0D1B283261EDA947E8F6AAF97E64C65126DBB4C3D992781E2C51DE","F3","Congress is granted power to provide for organizing, arming, and disciplining the Militia.","The congressional authority established here is bounded to the identified organization, armament, and discipline functions.","UNITED-STATES/CONGRESS/MILITIA/ORGANIZATION","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000084","US-CONST-ATOM-000084","84","CA553E8525E61E6E189C258AD8B4233F12FCE6D484613FBF7A436DA04EAB7E7C","F6","Congressional governing authority over the Militia applies to those portions employed in the service of the United States.","Federal governing authority under this clause does not attach outside the identified United States service condition.","UNITED-STATES/MILITIA/FEDERAL-SERVICE","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000085","US-CONST-ATOM-000085","85","FD8ED6A0A9CD1EA83C824D5415E3C2EB2E90351A69EA8EDF28E01AC55AA476F2","F2","Appointment of Militia officers is reserved to the States.","Congress does not acquire the officer-appointment authority reserved to the States by this clause.","UNITED-STATES/STATES/MILITIA-OFFICER-APPOINTMENT","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000086","US-CONST-ATOM-000086","86","C89B1E3CB2CD41F615CA73FB5F4D89C80E4DCE07944179F97D36B0C5672DDEB3","F2","Authority to train the Militia is reserved to the States while the governing discipline is prescribed by Congress.","State training authority and congressional discipline-prescription authority do not silently collapse into one authority class.","UNITED-STATES/FEDERAL-STATE/MILITIA-TRAINING","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000087","US-CONST-ATOM-000087","87","6065AE1394455B5D29C108EAD51C16171D949827A0EC94B8388F0B18A5D401BD","F6","Congress may exercise exclusive legislation over the federal seat only within a district not exceeding ten miles square that becomes the seat through State cession and congressional acceptance.","Exclusive legislative jurisdiction under this clause does not attach without the stated territorial limit, cession, and acceptance conditions.","UNITED-STATES/FEDERAL-SEAT","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000088","US-CONST-ATOM-000088","88","97BDEBD1B440F974FF6BB7736657E6E78C7C85B8DA7C0907D5AE5949CDD9A162","F6","Congress may exercise like authority over specified federal-use places purchased with consent of the legislature of the State in which the place is located.","Federal jurisdiction under this clause does not attach absent the identified purchase, State-consent, location, and federal-use conditions.","UNITED-STATES/FEDERAL-ENCLAVES","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000089","US-CONST-ATOM-000089","89","FEE1B44D9EF636D00239A8069ED9A655976DCECB112CD04EFC904E3F6711443D","F3","Congress may make laws necessary and proper for carrying into execution its foregoing powers and other powers vested by the Constitution in the United States Government, its departments, or officers.","The lawmaking authority established here remains tied to carrying constitutionally vested powers into execution.","UNITED-STATES/CONGRESS/NECESSARY-PROPER","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000090","US-CONST-ATOM-000090","90","6C5743A6BDBF1B515C7C124A1010BCDE6AD0064F5DD3ADBD58B329371328C1DD","F5","Congress was prohibited from banning the identified migration or importation before the year 1808.","Congressional prohibition of the identified migration or importation before the stated date was constitutionally barred by this source.","UNITED-STATES/CONGRESS/MIGRATION-IMPORTATION/PRE-1808","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000091","US-CONST-ATOM-000091","91","B7092D0E1CA93AC9E7782FC4477F95EE31AF7874845591553A525A8B8AD47836","F3","Congress was permitted to impose a tax or duty on the identified importation, capped at ten dollars for each person.","The tax or duty authorized by this clause could not exceed the stated per-person maximum.","UNITED-STATES/CONGRESS/MIGRATION-IMPORTATION/TAX","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000092","US-CONST-ATOM-000092","92","D2BE20D20FDD326BA4F2A0ADD12D489E15A02F4A7878888E5EAD54004AE9EA27","F5","The privilege of the writ of habeas corpus may not be suspended except when rebellion or invasion and public safety satisfy the stated exception.","Suspension is prohibited absent the source's rebellion-or-invasion and public-safety conditions.","UNITED-STATES/HABEAS-CORPUS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000093","US-CONST-ATOM-000093","93","E2A5F251279272691CF9AEAECEE1C74A60E50EDB899E88DEFBF187DB3B26BD56","F5","Bills of attainder and ex post facto laws may not be passed.","Passage of either identified form of law is constitutionally prohibited.","UNITED-STATES/FEDERAL/LEGISLATIVE-PROHIBITIONS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000094","US-CONST-ATOM-000094","94","702D33A7FFD01B0C3E7CC3F6FC60F375A40D7E47FF502AE9FDA7059B805C370C","F5","A capitation or other direct tax may not be laid except in proportion to the census or enumeration identified by the Constitution.","A direct tax not apportioned according to the stated census or enumeration rule is prohibited by this source.","UNITED-STATES/FEDERAL/DIRECT-TAX","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000095","US-CONST-ATOM-000095","95","4FEFB51D72E89C15BFDD8B865A8213A5558F5C6B7A2031DAD3F4DE57EDFE1321","F5","No tax or duty may be laid on articles exported from any State.","Federal taxation of State exports is prohibited by this source clause.","UNITED-STATES/FEDERAL/STATE-EXPORTS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000096","US-CONST-ATOM-000096","96","55D50EC88628661108193769F0B3307D1C15F85726B6C5B0118F0BD904451E25","F5","Commerce or revenue regulation may not give preference to the ports of one State over those of another.","Port preference among States through commerce or revenue regulation is prohibited.","UNITED-STATES/FEDERAL/PORT-NONPREFERENCE","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000097","US-CONST-ATOM-000097","97","7FBF86916AE08E8627D03DBD34F3ABE7306CBB88D7C2C352F8179FE68E6648CC","F5","Vessels bound to or from one State may not be required to enter, clear, or pay duties in another State.","The identified interstate vessel burdens are constitutionally prohibited.","UNITED-STATES/FEDERAL/INTERSTATE-VESSELS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000098","US-CONST-ATOM-000098","98","9468A9D4D65E8DD0969C2CEBC56257C73D9332F63BAE7194FC2A0EE7115F1652","F5","Money may not be drawn from the Treasury except pursuant to appropriations made by law.","Treasury disbursement without a lawful appropriation is prohibited.","UNITED-STATES/TREASURY/APPROPRIATIONS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000099","US-CONST-ATOM-000099","99","44574AA1B0F82192FC63E3343BF3AB222784B7ABE80BCAC6C438C9B9433F6800","F3","A regular statement and account of receipts and expenditures of public money must be published from time to time.","The public-finance publication duty established by this clause is not satisfied by omitting the required statement and account.","UNITED-STATES/PUBLIC-FINANCE/ACCOUNTING","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000100","US-CONST-ATOM-000100","100","24C9F045C47458D0D37493F8829484ECDD80ED996CF2FF9DAF79C5782F5A21FF","F5","The United States may not grant a title of nobility.","Granting a title of nobility by the United States is prohibited.","UNITED-STATES/FEDERAL/TITLES-NOBILITY","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000101","US-CONST-ATOM-000101","101","75DA112916222EC60E87463864A6F64B5E045FC2C13E62C9C8E0B16B1A310CE8","F5","A person holding an office of profit or trust under the United States may not accept a present, emolument, office, or title from a foreign sovereign or State without congressional consent.","Acceptance of the identified foreign benefit without congressional consent is prohibited.","UNITED-STATES/FEDERAL-OFFICERS/FOREIGN-BENEFITS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000102","US-CONST-ATOM-000102","102","E3DB51060B3CF436CDAE5DFF830FFA33B5C5004BB715E43C6BAD9A0DDF73074E","F5","A State may not enter into a treaty, alliance, or confederation.","State entry into the identified international agreements is constitutionally prohibited.","UNITED-STATES/STATES/TREATIES-ALLIANCES-CONFEDERATIONS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000103","US-CONST-ATOM-000103","103","4075F6A56841C63220DD6A2C9F50731FAF8D4D219EC58CBE71395AF0EE1C5E88","F5","A State may not grant Letters of Marque and Reprisal.","State issuance of Letters of Marque and Reprisal is prohibited.","UNITED-STATES/STATES/MARQUE-REPRISAL","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000104","US-CONST-ATOM-000104","104","8AC033CD6DBFAEB6506A717827370FB54589859BE5BB5D28510D2343EC41FF6C","F5","A State may not coin money.","State coinage is constitutionally prohibited.","UNITED-STATES/STATES/COINAGE","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000105","US-CONST-ATOM-000105","105","52AA94CC919E14568F3B7DCBF2DF849DDC4FE0139C63B3021F3EF079AF565EF4","F5","A State may not emit bills of credit.","State issuance of bills of credit is constitutionally prohibited.","UNITED-STATES/STATES/BILLS-OF-CREDIT","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000106","US-CONST-ATOM-000106","106","DAADA9A27F15A344212314FDAB0CBEDF144151B2DDED1F5C02B1F2E31F8AF0E3","F5","A State may not make anything other than gold and silver coin a tender in payment of debts.","State designation of a debt-payment tender outside gold and silver coin is prohibited by this source.","UNITED-STATES/STATES/LEGAL-TENDER","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000107","US-CONST-ATOM-000107","107","29B1B2635495E6A6429CD37A14184D981BFD8E66DA3B30C2DFD8C5A12B968112","F5","A State may not pass a bill of attainder.","State passage of a bill of attainder is constitutionally prohibited.","UNITED-STATES/STATES/BILL-OF-ATTAINDER","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000108","US-CONST-ATOM-000108","108","1816C10FA0EC7B13B4C28FE9DB570BAA2ADB9AF3C0B501C9B64DE0E3D510DED5","F5","A State may not pass an ex post facto law.","State passage of an ex post facto law is constitutionally prohibited.","UNITED-STATES/STATES/EX-POST-FACTO","NONE","NO","NO","NO","NORMALIZED"
